id	filename	md5	size	state
0a6c7c6c-c5ea-4a6f-ae58-a319327f66f6	mirnas.quantification.txt	a754067a6002b3c5ac7e64afb8ca017f	50395	submitted
7f104ed2-bc03-48fc-b7a2-42b770bb7387	mirnas.quantification.txt	9c09525625c2516f19bd3093bb9a7a3f	50306	submitted
38165084-13b8-4ef2-86cf-58a2d2246138	mirnas.quantification.txt	9d5dcc757eab775b1eb3e7eb9ab0caf4	50191	submitted
6552799a-0a4d-47bf-93b9-7023bc1e1ae0	mirnas.quantification.txt	3dd0ded3f5166662498c88c5d21a9574	50138	submitted
b4edb6b5-d76b-4b67-9dd0-582d9b87d2e2	mirnas.quantification.txt	bf8c9c3f0f27019cfa11b2b9fdf7e9ab	50218	submitted
9833a184-9b9c-4707-b139-591725dd9f60	mirnas.quantification.txt	2f8b6615abbd52639add4b4d42c59c64	50138	submitted
c3620580-6c0f-4f01-bb3c-d560972f9d0b	mirnas.quantification.txt	6ca786e0cc33653d43b253dba5724bc9	50285	submitted
21d50ea6-3ca4-4214-bf91-82b7400796ce	mirnas.quantification.txt	645fb0809161fd1111f03868741903d7	50222	submitted
4959131f-7ec8-42a5-8e27-26cf913c580b	mirnas.quantification.txt	e068075fe15215773c16d5768f2387bd	50172	submitted
8fbdb34b-e9ec-4982-afd9-a79995fe681a	mirnas.quantification.txt	4e8f2dd25e70edc9d77a613928434733	50109	submitted
bb467989-8a3c-4526-a3f0-dcc515b5cc66	mirnas.quantification.txt	a5ded10e53abf9b58ffb78d9f58a9a39	50226	submitted
e7966694-61e3-4c03-8cf3-8cbe03a58c71	mirnas.quantification.txt	90e1d0a5f36ba24760c788d8d3cd2929	50233	submitted
3a2b858e-6beb-487f-bd30-2faabb756a7f	mirnas.quantification.txt	2df3230ce0a2c8c31dc56259a82ba515	50247	submitted
6c53600f-ba07-4603-8bfa-449c623b34a9	mirnas.quantification.txt	1c2eaf071c25169ae59323cb4f0f6e97	50088	submitted
8412c02d-0469-4157-bd59-c6ac6ea918a9	mirnas.quantification.txt	0ff01104c6bcfc84b01847718c54b1af	50295	submitted
51a0772f-4a59-4f68-b033-5aab66379410	mirnas.quantification.txt	63c64edd74f8cd12b0ebce599daa7d19	50162	submitted
9c31fa53-78b8-4f52-8160-7dc63dd09f03	mirnas.quantification.txt	1d866d48ef60ac415c961705cff0621f	50063	submitted
586395ae-81e1-404c-9d05-f0ed0c265c76	mirnas.quantification.txt	e13e8ae08eb77137f923485ae02df016	50366	submitted
64581877-5a79-4df6-8e47-3e628751b545	mirnas.quantification.txt	3e1df7ac2462142802aba55bb1090411	50223	submitted
ef9e3371-b1c6-44b7-821e-713ebbeb92f9	mirnas.quantification.txt	1d547a5b7326b12fd74ff8c0a81d06e8	50108	submitted
204bb53c-ceab-45e7-821a-86feee827d71	mirnas.quantification.txt	dbf46b87b614f51e459f8a88b273d730	50259	submitted
7c00c39d-f77c-4965-b609-7ab98e05e6f4	mirnas.quantification.txt	f33fb9c175da14258811d052eec73f1d	50306	submitted
49969fcf-8545-440d-b97e-f5d6fc6b1a8f	mirnas.quantification.txt	79f696f7346afedebad09b8beefc977f	50100	submitted
1a6dc3ec-9172-4a9a-b3e5-a6cd179947b3	mirnas.quantification.txt	e27402f2d73679b6bd5ced8c405662bd	50179	submitted
15e86b71-7a81-446c-94d7-1f720f629b7f	mirnas.quantification.txt	5d3c05476d414d4d9792faa93ed17706	50328	submitted
98bf26b8-4e27-416a-9e7e-18d7750ae493	mirnas.quantification.txt	54e78302f7a652175b9faabdb8f01054	50329	submitted
dbff76cd-71b9-4c10-a960-142cd0f38524	mirnas.quantification.txt	3bada59e3a53dca4f957230617e2628d	50192	submitted
ad1e79d8-6e38-4a00-a56b-7aef05b60b10	mirnas.quantification.txt	f53d6daa2a9b59f858b0ee2179d4c451	50126	submitted
2b9d5058-44ae-4e76-ac0a-abcc68eaa2a4	mirnas.quantification.txt	fe81c4f6d8f02eeae4d84905c871ce92	50171	submitted
584a405b-201d-410a-a9d4-c906f02bbb61	mirnas.quantification.txt	eee3d1b5cb8600b2e34fe66fa088c577	50173	submitted
b647e19c-93d9-4c07-8ca6-655fb3c61acd	mirnas.quantification.txt	c6cf76011b1e83ccc7209dca2de86264	50305	submitted
bc867e7e-3594-4d3f-ae13-daf63be59dd1	mirnas.quantification.txt	f95d4dbf18d3f3641649ef4b1e0bc492	50372	submitted
14f2baa5-08d3-419d-b264-fa4d877bab91	mirnas.quantification.txt	ce90be62bbb11eb894af55c790fd7614	50247	submitted
a767b3bd-0e7a-4e7d-8d45-3a6bf46794e8	mirnas.quantification.txt	68cb7c077d55bb3e2f44bcdaaabf08fd	50260	submitted
94feab89-086d-4e0a-84bf-9df8b4ee773c	mirnas.quantification.txt	0ca95efbeb80f2950a7a8ee966de58a3	50175	submitted
1f1f0c74-7b47-408e-8f47-5953d12aa1fc	mirnas.quantification.txt	dda0109d47fb48984ccaa16b493182ae	50246	submitted
68d6b5ad-f725-4ad5-bebb-248874f31043	mirnas.quantification.txt	a1b0c47961327b04122e360e84372409	50394	submitted
ac356e6c-a5f9-450a-8ceb-b79d6639d65a	mirnas.quantification.txt	2d77bb8608d8b7f7be5a6b0133db850c	50327	submitted
38f74e0e-63da-4275-8203-9891d15723f3	mirnas.quantification.txt	6b23a9c558b858d09f6d5eca179c8fed	50397	submitted
0769ae0b-4ade-414a-8d47-ff31739e4d1a	mirnas.quantification.txt	c0c131a8433e2765dff3c4cbf4e6f5c3	50206	submitted
a32aa4ac-fd1c-4a1a-ade1-8d7de6e7dd0c	mirnas.quantification.txt	5c33ea9ff3c802b754011306d2083ed6	50146	submitted
c9757251-aa92-4188-b4b1-c26a36b4b6f8	mirnas.quantification.txt	9c58e96b8fd7f964bfa501b9eb2495b6	50182	submitted
36d445b4-2da3-4461-a0c9-e3e199dff65d	mirnas.quantification.txt	3ade0cc2d98e8963ff4b0d0db3bd3fe4	50118	submitted
3cca4db5-0816-4192-9d36-049c74370fd6	mirnas.quantification.txt	dd1e7016ae75b30b055c20e81ca3333c	50368	submitted
d4a2566c-bab2-41d4-b072-bdbb7b182342	mirnas.quantification.txt	038d8294bcc8207d8308beaf51b76a82	50199	submitted
d90a17ea-1742-4e77-9217-2de942f760aa	mirnas.quantification.txt	447425238bfb04807d95218eb6909305	50237	submitted
c37bc77f-86ad-4377-9518-7abfdaa63e37	mirnas.quantification.txt	a625809c6fa9ce0ce53b5fb4433f2112	50257	submitted
af86ab09-dc8c-4517-8599-681bc917eaa2	mirnas.quantification.txt	ca6524ac2b860f72207b544062063b4f	50138	submitted
9d9e4940-6fb0-491e-8fa8-04b5c56f9533	mirnas.quantification.txt	485e8918da7ec9eea76570048599febb	50321	submitted
1fdaed3b-58cf-4642-9bfa-80012261d05f	mirnas.quantification.txt	ce86635bdc77afa2d6ca3532a421b24a	50044	submitted
c60746ff-0052-4f7e-8c7c-5754ec09a5e4	mirnas.quantification.txt	fc7ba8ae030d4cb303b772a1ed0801a2	50371	submitted
14e5a14e-f10e-4e04-834f-43d75d336004	mirnas.quantification.txt	0b631bea06e69ea9510bb9fe766e2716	50293	submitted
6ca96fac-3a95-4188-953d-374811f8c2b3	mirnas.quantification.txt	b858782b40a18ef36d35f4b38c63d5e5	50112	submitted
f832231d-edd2-4305-8826-d6ba5564e207	mirnas.quantification.txt	54316decafd3ae5a252f90af331456b4	50191	submitted
f06c544a-5313-4795-92d8-d662db29c0f6	mirnas.quantification.txt	9c5c689fdea58a6b13c2898160622ec0	50270	submitted
d6513eb8-8a32-4c54-a76c-86dc99287ce7	mirnas.quantification.txt	ac6cd91d11dabba76a8236e8e4a82c14	50258	submitted
b6a97dfe-cdc9-4b7a-aeb0-6e4cdaae0f3a	mirnas.quantification.txt	e13d3c723d4a256ef89ecfe1f3254ce6	50302	submitted
129e4bc8-f737-49a8-9c2c-3f517380cd3a	mirnas.quantification.txt	8e812bcfa6597e1aba6925a9fd3cd9f2	50210	submitted
08949ada-87fd-4351-b2e4-73c85bca73e8	mirnas.quantification.txt	0735ebe3648cedc5512c61b10f469982	50163	submitted
76239a5a-c6f1-41b9-9099-644b81319254	mirnas.quantification.txt	5d8886ca2cab80e0099f61a473bcbbe3	50151	submitted
