X9370 X4656 X50674 X2167 X148738 X5346 X6327 X3785 X3172 X2657 X4825 X8913 X130399 X1287 X55800 X6329 X80031 X57556 X3786 X7026 X2494 X6478 X782 X375790 X6196 X784 X3280 X4088 X6195 X1175 X79718 X207 X1741 X9440 X5306 X998
TCGA-A8-A09X 14.7213072096558 3 8.3275607470871 18.3079430572988 3 15.5919047764498 7.84520088463537 7.88117089608818 6.97629443857181 9.76384286709877 10.4560891412367 7.84534430157594 11.2833683523564 13.9957504723489 11.1865950739326 13.4435360573595 14.0976506666096 14.2234262170809 12.9256100581351 17.4152150381579 13.7650307096589 17.3889523650474 12.4506853238871 18.6030903024235 17.0890338371177 17.0635772679899 19.5262126099882 15.9658598744986 17.609076643507 20.4991806658463 17.9415894561748 19.5280231809819 19.2404164799473 15.8519370372831 19.0739571324218 20.9747585832718
TCGA-E2-A1LS 10.1873591386275 8.48220090431871 3 16.1947686303167 8.86643629400045 11.8399354014642 6.63938209060187 3 3 7.23204933732514 10.6127802217927 5.97773514755459 8.69581441396675 17.1391630304829 10.6333930380933 12.9376695155141 12.6932572238195 16.4397832720312 12.5407683585298 18.2032167084588 12.4848733305252 18.4248667812769 14.1239943388656 19.8179788397865 15.7204208258618 16.6801462022237 20.9293061531775 17.111764015001 18.4831485605572 20.107672025346 18.9033574360716 17.3852820255023 17.693758615999 15.7741687202908 19.2415370583013 20.8420045878725
TCGA-AC-A5XS 18.8161232895806 3 10.4730802555589 21.6754935490085 3 19.0177359735499 11.4744368514825 7.09228644195878 6.21922801701678 10.9301912282842 11.7624373697218 10.7819481160821 12.3561279699638 17.3953031166275 10.8984802138201 12.9383020596468 12.3691491293741 14.217208519934 13.6293100490022 19.8111942868784 13.4839636002186 19.1627758036593 12.9828879575057 18.9102761445649 16.2768564074186 16.4156763571967 20.4164140702979 16.3477322339568 17.2949883629955 20.6069377650051 17.8977577972726 18.6955158887244 17.7915071126766 16.1264981476607 18.7936076818675 20.2702162948183
TCGA-AC-A23E 8.13906513040658 9.2950457722558 7.89217616572434 13.8671047531333 3 12.1358313142402 12.463216334274 3 5.67824807838167 9.80051094813327 13.7551494727463 12.6550613922078 8.93354234015205 17.0120715279688 10.1999160150414 10.6588416270627 14.3042288629113 15.8334915501792 15.0577947096891 18.5847558258523 13.7257437500796 19.4437933256226 13.3169728394555 18.0507111465063 17.3568513752359 17.0534880014408 18.6515380729906 16.7794162559466 17.8346147764722 19.8565336206064 19.1806347194806 18.2925182446935 17.7333799106134 16.0576933988619 18.4822829833539 21.1093398152091
TCGA-A8-A06Y 10.9150294367276 3 3 13.8972370100629 3 13.3285108346997 3 5.55638041135576 3 9.48592146620415 11.4930166597375 5.74631561611355 9.85243401531865 16.5367702825899 10.145554774709 11.2132483889875 13.1962820866287 14.7762904380134 12.2831025716138 17.2500566102492 13.2421353209435 19.9823428501935 13.8435197790057 18.8622320063195 16.5897554019111 16.7175878283144 20.3264461011345 16.6904723267645 16.8672931555342 19.49710544962 18.7257768549014 18.0838241701246 17.7820044734634 15.8960138605582 19.2805019078301 20.1343750132456
TCGA-BH-A0H3 16.6097654304511 7.77362686950825 8.89550044214212 18.3501210217458 3 16.2616948220173 13.6479142610093 5.18466882165547 3 8.77206818239229 14.0463338141236 11.7559974126617 12.4365542507259 17.4228653512507 12.6682924608824 10.8176411442211 15.3852149856957 15.1296946541485 13.2228139521073 17.8161401113142 15.0718907670396 20.6677200016409 13.1926740061821 18.6443266707503 17.413526691864 17.2218374502182 19.4470673786358 17.9362464543537 17.4542866585914 18.7111176763266 19.6169269250184 17.9201764837384 17.4737555746849 16.1449293581565 18.9679729753247 20.8854298074233
TCGA-AR-A2LJ 18.0902698702492 12.0066117596246 3 23.5530574205971 3 19.4620941442709 12.7267233973476 7.3741421025405 7.58441200408451 11.7859646413829 13.8835592836802 12.4012709453546 12.0693638104191 15.5909176144102 12.4380897408227 12.6728834899151 13.7720041881473 15.8752552139748 12.0882951200685 17.253207175006 12.7619257188609 20.5808465128217 16.1615609920333 19.6640751106293 16.917302371586 17.5503351118571 20.6668083164661 17.1781878166835 18.5681734036699 20.9120415117369 18.6154871376077 18.6888558777186 17.8530130910685 15.3448072717134 18.4556715351077 20.8804196980243
TCGA-A8-A06U 6.60643287553901 10.4073505197562 3 14.5115194311321 8.50104597469095 13.2078472489319 9.48417198250467 6.87042598452234 3 10.1128877643158 14.957985761981 9.59415610656558 10.9852516058095 16.9471940219323 9.98112022630707 10.4602447623978 12.3211102983764 14.4128428903374 12.0942646528822 17.9845410807268 11.7045476421541 21.636930338225 14.9890034879841 18.305293560157 16.4815503835169 16.8500926451118 19.4180668758494 15.9815859034186 17.3527979452593 20.1940058259957 17.9834579405806 18.5108323408477 19.160176128711 16.0755460493156 18.495099999984 20.9581039335807
TCGA-D8-A1X6 11.5778661151696 7.58566039071837 10.008629915222 16.1704921109488 3 12.8990870029221 8.93906546455716 3 3 8.95182798300492 6.63156468840443 9.39739094446603 9.85449702231556 17.4125087095378 8.10592265674236 11.3817991863402 16.6201098724052 15.0877583937002 13.9068825070259 17.6812910176374 11.1056295708604 22.1296000627962 13.4189140623352 17.4537050371444 16.2215550899793 15.8683836662698 17.5777786984691 16.8227054224905 17.4172254792916 20.2416158912827 18.8038555716703 18.4056278844953 17.7610528161914 15.8735695747043 19.0775638813062 20.6700866150636
TCGA-A7-A6VY 6.42401342163512 9.47821664930844 9.05008355499731 12.1797409757649 8.8786086465827 11.8148996543977 9.66088764653136 3 8.81434966785535 10.1145909259759 12.4499138354849 10.3474712938501 10.8788801357448 17.8792852313973 8.73299003725562 5.68803134438381 11.3726534393049 14.4554498133988 11.227172221426 16.2731934203071 11.3561987174127 18.6959958082635 15.3505523195881 20.8667347204964 15.8250327770533 17.8445747479486 18.7472458937621 16.0389626934875 17.9336339561443 20.3747916718286 17.3219145132462 17.9597956854576 17.48504515828 15.7024476090732 18.8645622377448 19.9987179782398
