X8354 X5473 X3456 X3046 X5196 X3045 X6403 X7066 X22915 X2151 X5265 X64805 X3043 X7042 X10125 X11136 X2159 X7043 X5136 X58494 X11069 X2149 X2 X7450 X10335 X54331 X5153 X5575 X408 X2791 X83700 X161882 X5175 X10461 X4846 X8503 X5154 X351 X91768 X3717 X5155 X5770 X6915 X3705 X221037 X64837 X5590 X27154 X207 X5576 X3799 X5908 X801 X998 X5566
TCGA-AC-A3W7 3 10.2971909914762 8.4712057201001 8.36234904623632 3 3 16.1557532386269 13.7254930024504 14.6431367610348 18.4760842801038 19.6329365516723 14.3363001285202 17.2553472229676 16.8904576459349 13.3933747827454 12.3989230512072 15.2497848259352 19.1718693097366 14.3405766694867 16.0481247616208 15.5974629491124 18.9051848995798 20.8762736583386 18.6909180862379 15.7959864381732 15.2585327552056 14.0284124094067 17.0882612912488 18.015377553083 17.4201123052934 17.1579227520222 15.5059626964156 18.558108627192 15.0501161286621 16.2473438339218 17.6553510052166 16.8635157903711 21.7792399467003 17.2347639633563 16.3392571255422 17.9189966308667 18.4546597617531 14.7874827231964 17.9679272619976 16.8044893114661 17.2970694106122 16.6861458842385 18.661496243884 19.3527273644559 17.983887795679 19.617899613022 15.8714114403334 19.4184787970421 20.4735017596683 18.6360652958727
TCGA-BH-A0H5 3 3 3 11.0325470306421 3 9.52624932994157 17.0830174553046 14.3884096195015 14.5951409848856 17.9857149287427 20.0966237289123 14.8116943550894 15.0879834403441 15.6185345753671 17.1069206068921 11.225278142189 15.0477970547275 18.2498964314268 14.5521046188574 16.3573459066256 14.3971257904547 19.1513697418374 21.3483499251545 19.2247109151839 15.4142524040158 17.4929337314492 14.7636949843663 16.5952820632955 17.2915763109733 17.320466706491 16.5979739473342 14.8382660038781 19.6598125626349 15.7135774836423 14.8506175756609 18.0713140081785 15.8084800782531 21.428136163544 16.785016563233 17.4963834625629 17.4335980057387 19.2957725501381 13.84418516138 18.8480207896293 17.1861472315354 16.5293671056686 15.7428394779626 17.8475290755922 18.1341421608442 17.9764236346099 19.3573821315585 16.1050459208743 19.6417070595003 20.9732023944122 18.4987669076571
TCGA-C8-A1HL 3 11.2045150134562 3 9.25745418363785 3 3 14.9860088124701 14.3231704717604 14.8538815092041 18.8808703151759 16.3111458868833 12.0462283107018 17.5297905647613 14.2582583266553 15.6469153963834 12.2797076359585 12.1448075649343 17.7799973338119 15.2086847114346 17.238820116269 15.5616502071975 19.7850110463093 22.093684544061 18.9435622868291 16.5044771815255 16.6778268103793 14.2130914767416 16.9930076598948 16.6739144078006 18.6894485921464 17.3459951272422 14.3842222719606 19.9687172632981 16.0171230282103 16.1589803065911 18.0463770265701 17.6076738622403 21.4372204087651 17.3346259578945 16.0618441198956 18.7382319122991 18.1827570398491 15.4435279851495 19.1154897409987 17.0654930148873 17.6237194887301 16.2175937575281 18.2231846072871 18.9895996922305 17.9266285625751 20.1402246213153 15.9671797909576 21.2947088535627 21.1516257761699 18.8167222083532
TCGA-A2-A0YF 9.44121782125559 10.2203836030155 10.3697486064615 3 3 9.0764836881008 14.6243615314444 15.9050127348408 14.1065961537076 16.4315063468731 18.9752469786474 16.3161222719675 17.6372375198889 14.0443465801683 18.9196502050708 11.2930521592031 13.0153089033423 16.9008859980268 14.5371162463463 16.2286485476433 16.7711461892777 18.4316016708606 21.4997488081487 18.0048547313143 15.087466671042 15.9321080034935 14.0709687908562 14.8698958541571 18.2464488058215 17.5913112994758 15.8375125567234 14.2281259842106 19.2110171555992 16.435697993852 14.8069198612478 16.8894284879694 15.7214791950331 21.0291357183451 17.6489509564832 16.5658413099948 18.0698587297607 19.2513183389636 14.7424838811556 18.7685216806947 17.8648152552307 16.8126845000061 14.1695406029088 18.2479666598169 18.0185261957053 18.5686321176476 20.438113783899 16.0889949239316 20.0673688514616 20.5280865315022 19.0131731118139
TCGA-E2-A15J 3 3 8.79245717648906 8.68307985919521 3 3 12.2055699147747 17.7657101831665 10.4852590533366 14.6399486583809 20.0922710663769 13.2082018543531 14.1679641417464 15.589569015529 11.3009538787009 12.3016446511639 11.8985688421833 18.4181000688201 12.0591707454282 14.0503007507434 16.3751338774303 16.9049464984517 19.6807331366887 17.3031918238416 15.1798010719493 14.2877945183734 11.3498566493158 16.2333423585924 17.2158829435412 15.6536476640317 15.3509733915096 13.5141629904509 17.4373879200651 15.2452934673952 14.9960238617177 18.1480861108403 15.9324371935282 21.8078922747815 16.7450176748742 15.7557200346876 17.5404985646571 18.4473720938818 14.15320058484 18.1717061619466 17.5529299285676 17.4751540411264 15.703107210135 18.4909741379981 18.5312275084215 18.2648266943805 19.8867641895598 16.1378565632572 18.7874192862667 20.330341691305 18.9639376749251
TCGA-BH-A0BW 9.79499772983497 9.99450071557706 13.6735070508233 10.6143418718005 9.24567558241126 10.0085838254937 13.9634393707935 10.1569202938779 12.0621740959143 16.0546941792952 21.1239561797125 14.2199451969155 12.906953161428 17.0487748871207 17.3200117100898 11.7107211569614 11.2675069746735 16.5254364248447 12.1811136048204 13.8199369362162 13.4079866592493 17.7805198818299 23.3364502564876 17.5979394377711 15.1729966738789 17.0517217834194 13.2003282420988 13.9401852044595 16.5031750074434 15.5990237731636 14.8474436699898 13.9548010183079 18.2767618640362 16.5589375895397 14.5842216980397 17.3229257035192 16.4902177334695 23.3324932068115 15.7237013138501 17.4818377872576 17.7160887833753 18.9907745493684 12.8262865486457 16.5382548469295 17.946359734206 16.9812354538969 16.1420389152396 19.0034441230549 17.329316385854 17.553434720617 20.4706455783344 16.4621711150121 19.2659075167557 20.658558015139 17.44037667576
TCGA-A1-A0SJ 3 12.2505058398203 3 3 3 10.5153487831029 16.0834862363017 11.6604509314996 17.852466130565 18.1811582062326 18.1623689546246 13.9483564643193 20.6998541954149 15.115394437216 17.12127477977 10.395896137072 14.0167938220809 16.9804114096519 14.7351675404728 16.0876755128686 13.9311897456373 19.2895941291452 21.8786149691591 19.477163117279 15.5459406518564 15.9722836219089 14.4034380877592 17.3030094270627 21.0019226192288 17.8191533053199 16.8184606170521 14.9230038331938 19.8551127238786 15.1234392711382 15.6897118972948 16.9069696267214 16.806482235425 23.1089707287237 17.0901067175746 16.9560889206436 18.6550398220397 19.4669400300848 13.757099892762 18.2243886548239 16.7614322210627 17.566637028163 15.6826077216735 17.3186556647454 18.5311892274098 18.383071292615 19.5271264110922 18.481111196713 20.883440922299 21.3092771012199 18.4729307651209
TCGA-A2-A0EY 3 10.0243328290737 3 10.9647405708663 10.8478406931963 8.47524015142581 16.2259920746742 13.8214943829774 14.5872755259157 16.5197419027295 17.8203948188003 12.7656372304902 16.6711478921214 16.3356864560304 15.4566551479612 12.3640210462556 14.2476728521055 17.3960413772345 13.4397363133385 15.037619650474 13.6093360713547 18.2224696232333 20.3270808269961 18.8914479729071 15.3790509242338 15.5107756160785 13.388789375757 15.2572983983709 18.4361767198936 16.5291970970032 16.0587187846515 14.1947902672356 18.789668539495 15.3494064215144 15.1432767764328 16.9441919508511 14.8025971198061 21.0958759574007 17.6993132883944 15.8957190876865 17.7442180194982 18.9100678545466 13.3704254205476 17.8481655901246 16.7818932605501 17.5945131423136 15.4561970824934 18.0261521148868 19.2309569015164 18.3912954266336 19.6414901959968 15.4076818861288 19.4569839589758 20.4976186838905 19.3405143620118
TCGA-A8-A07R 3 3 13.6278427403067 3 3 3 9.85144685002429 12.3850128868679 10.0390823225958 15.1463546165425 17.3975816681546 9.76096307855861 10.4130521388786 16.7310617427795 14.9316362331033 10.7573898307591 13.6697068039214 15.0924087239671 10.951060869128 13.7295659657381 13.8838666525668 17.1823616583709 20.5307738766758 17.2944985094626 15.0916320260747 13.5726277544387 13.071606993898 15.6944754573858 15.7886281895934 15.4027789203356 15.2293285614349 11.3282311284523 17.4335064371556 16.2361632495039 15.7608093579211 16.9366279223237 15.2810493409471 21.6478544850968 17.0978109717271 15.7385905711544 17.8416726280216 18.3177962155843 13.9265865719023 20.0290076100824 16.6445435430487 16.4579358604029 16.3762011756964 17.0296074938224 18.0658274149146 17.8121976491113 19.8480277082348 16.4359338508734 19.9357023957624 21.148523721311 18.5114213698996
TCGA-BH-A18G 3 3 3 3 10.2401622810275 3 3 10.5734581514063 3 14.065943618944 15.8284217794898 12.8581644084638 11.2703248623192 14.9069159254996 16.7469628323045 8.16708557571966 14.0489096912664 17.3433710574906 12.5726436790606 15.2108753741991 13.6129446877952 17.1072138167711 19.405248714692 16.4275729409004 16.2948954422561 14.8801094595554 12.5299452698693 15.9100063198359 16.2755025844764 16.2541274652617 16.0736631175808 14.318865632139 16.8625840907559 14.6373228136834 13.2527025884909 16.7711849824727 17.2013701094684 22.7258147608319 15.5603882863433 15.5387467982293 17.7532762132952 17.8668391865721 13.9763054172586 17.8020313396038 17.0685967170458 17.2624734222906 16.1834148850123 16.7351113425298 18.5717770303022 16.7341582044998 19.4177867945285 15.5895823071724 20.618538615852 20.912522624948 18.7224729398465
