X5709 X51160 X5688 X23198 X1175 X3981 X8480 X9818 X51497 X5437 X5702 X5693 X5683 X5903 X6749 X6884 X375 X55746 X905 X6908 X2959 X7520
TCGA-BH-A18G 18.8681272892293 19.8628343056258 21.3982468104468 18.825768724357 20.0403554537955 14.9095075710665 16.939472993807 16.3601900884776 18.5352831911737 19.4894982990451 20.6239157905849 21.4876751592232 15.8257407235371 17.107073861013 19.3281944828137 18.74061545065 23.4849001758397 18.1321976725091 16.6104914198239 17.1765719767872 18.6371437494148 20.796672704109
TCGA-BH-A0BR 19.1375803889165 18.15272730397 20.8716437207004 18.9672910757113 19.8781768232893 15.3406420310166 17.5029900097235 16.4694404796973 18.3335807223209 19.2350244998318 19.7978846284316 20.580923553178 14.8051730827573 18.3433951306237 19.319388222257 19.1770370735237 22.1866433738066 18.12312265647 16.3749811508119 17.6601939908035 18.2447016736267 20.9471942038202
TCGA-A8-A06N 20.1572460183866 20.4275851736727 20.5466555269437 17.6194889865433 18.9661009589645 16.2446057441849 17.6984247886736 16.9199432666236 18.3305771344931 17.7915171130307 20.2644688724386 20.1369146903013 14.8521530825489 17.7372308037855 19.6711657266191 18.5539126775855 21.6666010316594 18.1091064905671 17.2435375432342 17.0820649992061 18.6817342781222 20.3553241108362
TCGA-AO-A03M 20.0961454129452 19.5595066730924 21.6928249398013 18.1838697424313 20.4318903619224 16.5624677537312 19.0551415395386 16.7984470040359 19.207626104652 18.1655811820246 20.0335787340667 21.011315571047 15.0331683199361 17.9135488343516 19.3998255870389 18.9006314626597 22.3859016640656 18.1427770826153 16.1883004918701 17.0198839754107 18.1995878174217 20.8347159282239
TCGA-A8-A09X 18.7891865595333 18.5923943876575 20.6154104677038 19.0196207994174 20.4991806658463 15.6847331037712 16.9544618368807 16.5784515255852 18.4901875242715 18.3269945980465 19.9504934890365 21.026074386368 15.3062915785151 18.8440347149136 19.6035583217163 18.288636509898 21.8558594464172 18.0187667990857 16.4915179746132 17.6787567475679 17.8243160659918 20.9470109310349
TCGA-E2-A1LS 18.1356032132819 18.9438957369144 20.9819876005852 19.0361375047322 20.107672025346 16.4960500943539 18.6155068460045 16.6119735806441 18.9773740017875 18.5472666604364 19.1432652252961 20.0367743621866 16.0528827291522 18.5112055748665 21.5748218333016 18.2178665724765 22.9033362706738 18.9209355654718 17.4458981200982 17.7603199431978 18.2020575366543 20.8446868180823
TCGA-AC-A5XS 18.9799859978252 19.838392548754 21.5696641234373 17.8045994995041 20.6069377650051 15.5704974636536 17.8347172501226 16.5169604510418 18.4307433237928 18.7420759290423 20.4523118430837 20.6366507185523 15.9168364657799 17.4426133923818 19.0602606545512 19.6267385601613 22.6084238584251 19.0074311682255 16.265294732741 17.3474816440311 18.4182041638761 20.5089830669684
TCGA-AC-A23E 18.8956393503147 18.6319599380361 20.1417755638134 18.0352865848573 19.8565336206064 15.9903585127132 17.0303600278384 17.0516885920311 17.9932381161926 18.1381005704695 19.6403124765956 20.3249453401763 14.8733337739883 18.3981969302995 19.2183040759525 18.6750411743383 21.8934912983643 18.7281342532824 16.2549596887631 17.3273620250286 18.0465633767533 20.9972909751687
TCGA-A8-A06Y 19.3375620872539 19.4956588498019 20.3405463213134 18.5217032419107 19.49710544962 16.133448407117 17.8661628863321 16.8249838939488 18.7001925695919 18.3017251812652 19.6894767675783 20.3320832335031 15.3730972716078 17.8039053939533 19.1055666659833 18.2528707627685 22.8733270279326 18.9507349544459 16.6734711341671 17.2353793711823 17.7384120594828 20.3368665969547
TCGA-BH-A0H3 18.7104978821965 18.4767338398634 19.9743760646487 18.0472625260137 18.7111176763266 16.2925263107672 17.1184580406132 17.0899330798079 18.0303870975091 17.8303552291563 19.3611956724029 19.8977455679073 14.802610694221 18.683636034427 19.249321527357 18.6381178193164 21.8434428233054 18.9505876830431 17.1004194821765 17.1198498176291 18.1607671593466 20.8409938923163
TCGA-AR-A2LJ 21.482614367386 20.4633009191952 21.505934004598 17.2142670223589 20.9120415117369 14.8650704273354 17.6105256997057 15.8169024276416 18.2617611928791 19.0364752722749 20.744104269297 20.6223361472279 15.5467342162407 17.0379361147536 18.8199348339374 18.784171957572 22.2417616582303 17.7710794170182 15.6753117208718 17.3527613192709 17.974005384683 20.4208763879861
TCGA-A8-A06U 20.3008409238799 19.880609309513 21.7499178515478 19.2574606301746 20.1940058259957 15.2209468347319 18.4854193975281 15.9264714174334 19.1204695648379 19.5681259059473 20.0494300283844 20.9573378749514 15.8466277844243 18.3082511922449 19.7282787934589 18.2892888126254 22.4995022761112 18.3336204535404 16.9769488202951 17.6401562950273 17.2248113730104 20.7727336157523
TCGA-D8-A1X6 19.5210885290333 20.0447326911512 20.7866082319111 17.6980085471633 20.2416158912827 16.2637662436812 17.7856822506543 16.7705895438834 18.2984601953664 18.3485704253499 19.8072334010934 20.2329018295681 15.3098672322423 18.030363890538 19.3299192504625 18.7907240513674 21.4827522608822 18.3675532179722 15.6786698701786 17.51717194304 18.7519933753997 20.6707556834249
TCGA-A7-A6VY 19.4162894278967 19.9528849901197 21.7301008826029 18.6956830244449 20.3747916718286 15.0032002764045 18.0138099726888 16.4995068181818 18.8142529910012 18.0057012926159 20.9717903081976 20.6503527988718 15.352147526586 17.9200790270063 20.16759733208 18.5080481932644 22.2433703580114 18.1932157043306 16.314344157369 17.2640607160343 17.4997889388993 20.5761574338495
TCGA-E2-A15O 19.7356963610251 19.2460454545925 20.7783152324574 17.6211733508999 19.5317744465891 15.4144752989916 18.2683091103322 18.7134523687685 18.4075554840556 17.5978430746863 19.952524184274 20.0519389485016 14.6631354897299 18.3827641073916 18.5892596857978 18.6784414046555 21.3627363529469 18.0439057790661 17.2065641881636 18.0414073251053 18.283090063288 20.9038641552922
TCGA-A2-A0CY 19.2414560070062 20.2065731269806 21.7146805069142 18.1954826732493 21.0558587160577 15.0283391938078 17.8612068340345 16.4075518170474 19.4913772926907 19.359338449411 21.1451874364855 21.9102810969219 16.342404920807 17.7331552167277 20.2570451962003 17.8493020512286 22.7535276591578 17.9480062278392 15.7218980015614 17.220490864365 17.4073532545646 19.9336552579167
TCGA-OL-A6VO 20.0583257601645 20.1012265998173 21.4343632919959 18.2891597405435 20.0733836835763 16.218163878029 17.2849286474745 17.4228860354468 18.92327045428 19.222615530687 20.5316592418126 20.8435604464716 15.1193227915474 17.3346167919892 20.3294446219381 19.1518587925757 22.431312857716 18.0882541914601 16.2252746858932 17.7846684014685 18.4667562573822 20.6401597933451
TCGA-A2-A0CL 19.0724049055999 18.3217779855694 21.5065873140742 18.2384745096205 19.5844379188646 16.4049563234525 17.6858808124653 17.1062767282437 18.7757122793915 17.8073605885757 19.7893182510549 20.3937694977244 14.4635540145418 18.316601872514 18.9722876955471 18.2538175230689 21.5333360952378 17.7067660001005 17.2684697190275 17.1894011908436 18.0004836016626 20.4285665744904
TCGA-AR-A0TQ 21.9368049853899 19.4470623698718 21.4566152686812 17.9824584949812 19.8540307173541 15.5203284103475 19.9060384906089 17.6211033659869 19.6944373154654 18.0880043046895 20.3351848489114 21.4078117238603 14.6179645757183 18.1890396538394 19.3972919011075 18.2518794491278 21.5224498763802 17.4273646499502 16.9547059998435 17.0634696075926 17.6566295788984 20.567856641255
TCGA-E2-A573 19.206705062073 19.2068980025396 22.2736738599269 19.6511869280832 20.4742149292773 17.074457606914 17.9495920241239 17.3329641499942 19.1987260427931 19.0486107892347 20.4933815252928 20.8378183853929 16.162814242425 17.1618614834394 19.529569581388 19.4817965892802 22.6536623149224 18.27720742328 16.4846886006418 17.9272975408645 18.1853546363636 20.4700925387812
TCGA-A2-A0CW 19.6827659882938 19.7793156822806 22.4842523628638 19.097251292778 19.4724232475296 14.8276800217676 19.3077609612839 17.3059118487647 20.8727350179779 18.9262116631835 20.6558519326745 21.8942125771427 14.2228748190249 18.0833866663946 19.4064569403027 18.9213704169188 22.4743782116127 18.5087380825599 16.4670931592113 17.7289463308369 18.1107078681863 20.3919029813466
TCGA-AC-A3EH 19.3183614854295 20.3917058301263 20.7142134302258 17.2991951819582 20.252146566885 15.996006761594 17.5417708110056 16.7315121706566 18.7250960004319 18.7751027688387 20.284700240345 20.10161531192 15.0494290050814 17.1347479745104 19.3686931596858 18.3605343098201 22.7182347932518 18.8461925582392 16.0896924584234 17.2142730866204 17.2286051441982 20.8713676011303
TCGA-A2-A3XX 19.9943150251722 21.1351615812383 22.114107634054 18.9889692841332 20.0008499478667 15.781166269282 18.0765323982818 16.1745279406724 19.2262404179741 18.3086335137585 19.9719499928498 20.7186817944884 15.5360044083324 17.3495387018493 19.5642578256512 18.4266818818754 23.4366130484023 18.7427572741722 15.9530109906749 18.4478250935869 17.8216203434631 20.6854257126613
TCGA-AO-A1KQ 20.2664223698899 20.6281616815409 21.9239022921542 17.5325427170208 20.1862952308345 15.1236624847824 18.2973574553268 15.6758819220924 19.5853547116558 19.1504703740803 20.899019340508 20.9600659298575 16.1456933162778 17.4614571185379 19.4878034940795 18.3181770052699 22.7155492075196 17.930726630096 16.7893186597378 17.4901729729018 17.9432448613945 20.8918672797709
TCGA-BH-A0HN 19.0956353454722 20.4848272798501 20.9593694526558 17.6699040167835 21.2117550130228 16.1029857096312 17.5637037703479 16.064947281738 18.8739162414954 19.5436638476858 20.0717767356909 20.6200297710078 16.0694466056092 17.3391656694252 18.787964782854 17.9531983981127 23.0822685217691 18.2011248881899 16.6827749373744 17.3709153147009 17.7191862628762 20.0458331499752
TCGA-AR-A1AR 18.434554975272 18.5407195939531 20.1843536915903 18.796455520505 19.7225297048566 16.8211077316689 16.9416151605941 17.4365986404978 17.8380906724606 18.3795210745345 19.6093950244187 20.0286983813487 16.0330073121533 18.6717637830195 19.533029646968 19.7473204002858 21.5644943832315 19.2879716152263 17.1506495678756 17.8971928705304 18.379155926133 21.3170622636972
TCGA-AO-A0JD 19.0142547395498 18.0892340529609 21.3140835978715 19.1999209113778 20.4717918427435 16.5226346299341 17.8588665291819 17.6986439133925 19.1587944123198 18.6523879801811 20.2607606953272 20.6990989392776 16.1041049672792 18.6419305971113 20.1878030380583 18.95905621595 22.9986568339259 19.1984470037921 16.4744009192997 18.1649701941186 17.8732684633448 20.8488670081861
TCGA-A7-A0CG 18.2113576867122 18.2133151638724 20.2619757458795 18.2793653506071 19.5788502047377 15.9467314670855 17.2598380114205 17.2017808353038 18.3439943393635 17.8110675088292 19.860612889734 20.1819486894063 15.1441004404121 18.5422798503032 19.0939075758872 18.7512768753757 22.3513438855773 19.0002022294293 16.9146386898989 17.2086643978136 17.9092492655329 21.1073737623052
TCGA-A2-A0T4 19.2097059908402 19.2433722043683 20.7901293018194 17.4671281793609 20.0372570391845 15.814653795382 17.2875844155437 16.2732004830801 18.0985241102117 18.5184651361934 20.6180699064154 20.3934895738338 15.2908411179398 17.8242648432477 18.8610946369761 17.837455458777 22.3191734944021 18.5203572133341 16.3977089690008 16.7958993957467 17.6660209208393 20.6808223633053
TCGA-B6-A400 19.5333345559595 19.4996720848354 22.0127240016103 18.250874636113 20.284607697922 16.2443535218992 18.2614725079882 17.0748014207114 18.9368579527221 19.3521001901744 20.6070954985972 20.7117976362661 15.3535246618906 17.7989432532673 20.5243290873856 17.9530349907893 22.3553861888176 17.5136965698042 16.6600127154752 17.6704882841921 17.6554721030663 19.9902563034202
TCGA-E2-A576 19.750860333526 22.2065637834033 21.854276051739 17.0218071925565 21.6242247423026 14.3251454297732 18.3314629014928 15.1640347156302 18.5387171268853 19.465380482427 21.4249014497965 21.4564871861279 16.5395365791395 17.3717351546051 18.7245522233877 18.3416594556595 21.7839446060295 18.0440527782218 16.4644795071621 17.7429942162124 17.7459024594444 20.6521477904808
TCGA-BH-A0WA 19.0407173239927 18.2343404431171 20.883656471635 19.2730141236596 19.7793442231638 15.841303619562 17.3445143850999 17.0787918286517 18.7025201639588 18.7123095377262 20.2858708450496 20.2084451728674 14.66314493748 18.495074574201 20.029721932548 19.3388177727592 22.1933057373699 18.061642305076 17.2660151235122 17.0346187755924 17.8414441364049 20.4814320772469
TCGA-A1-A0SN 23.335303071985 19.4922994175351 20.1637684054057 18.2773152285282 19.8284764509635 15.6314534134049 16.1287282324471 16.7128436315972 17.0935917071731 18.1771688142492 20.0422001451776 20.7625004005993 15.0808010812563 18.0162489214081 19.5660985762786 18.086115616627 22.324674368145 18.4040545587897 16.0053324093293 16.8779064481208 17.7581881685238 20.231836677833
TCGA-A2-A0T3 19.871713892402 18.8726354211019 21.6477134119218 17.6495381940878 20.6661143240815 16.4000341946601 18.8153272044086 17.2119660482185 19.6317353667939 18.0418005567154 20.6796811684425 20.9732861013251 13.8323699171053 17.7293212970682 20.0799014108951 18.6306551954513 21.9100662259438 18.1277507664315 16.5736702735443 16.9490301891942 17.8060157395793 20.5355639758321
TCGA-BH-A0AZ 19.5940548962702 19.6389075803133 19.9578625290989 17.6713951570746 20.0122151938887 15.9825342188309 17.2254321228711 16.0499323623642 18.0529827891245 18.1538052397329 19.9669228289324 20.4578181718027 15.1012417312612 17.423205675988 18.9342073200924 18.1891697414933 22.523989195378 17.7708434301029 16.5203987130333 17.2968471737071 17.7121393066248 20.6031311559856
TCGA-A7-A4SE 18.9743922588326 19.2385306111409 21.3328587035172 18.0700835337823 18.9854773835978 16.2163316494155 17.7637363944771 17.0448513922897 18.6611410203978 18.3761048558163 20.1828589377168 20.0682194508606 14.6126395283005 18.0130430927263 19.9856628600739 18.8998249483885 22.4354491789036 18.3610915418902 16.7908061904748 18.2655065838835 17.762378127928 20.7675000784661
TCGA-AQ-A1H2 19.5109277175094 20.0761851868065 21.5313783947718 18.0383044865543 20.2478853478431 15.0467208983115 17.9421275361111 16.0913781051312 18.8283594155141 18.5464229729699 20.8062097273104 20.640138936451 15.7202069117258 18.2900803659065 19.8220304734794 18.8731929074143 21.8027574901344 17.7964784518071 16.2911416423916 17.2457266058508 18.3650746210766 20.6626961528643
TCGA-A2-A1G6 18.5911696539162 18.6873595163992 19.8993123973923 17.6569486162031 19.0199608430781 16.4656468335095 17.3223854303515 17.0460488850039 18.3117426077651 17.8409171391188 19.0776283700009 19.5337611364244 15.3944401737186 18.3913532608612 18.9848289847293 18.7619654450701 21.4529133295069 18.2883772332186 17.0425020292064 17.753668202655 18.3751763861065 20.6744433400103
TCGA-A7-A13H 19.3092076258688 19.4070347158522 20.3206196735941 17.5343806265849 19.6148988487247 15.8022879889315 17.1616974747505 16.8962472709068 18.1279435983328 18.3087525804426 19.7115869063196 19.7093457021447 14.8469899450028 17.5426292247859 18.9764701243803 18.4348589993852 22.1242321672458 18.5627435149073 16.7346651690797 17.5093384399435 17.7095395298918 20.1800107143686
TCGA-B6-A0IP 19.1970247371058 19.3340301902432 20.1702514645485 17.9670503625458 19.7493272534994 15.79175203946 17.2876718749389 16.7701870770074 18.22130192994 18.265104974836 19.9835287138475 19.9483063893065 15.0271015431949 17.9499071294098 19.3871002110068 18.550417822609 22.1533121054821 18.2160524763504 17.3439017037794 17.4006811244713 18.1037882118736 20.7008563067953
TCGA-A2-A0CZ 19.2418560302107 19.6462972339599 20.5773057919123 17.1248568405372 20.2157277422914 15.7415993548931 16.8610023470932 16.4497657055113 17.7804458478205 18.5768861580368 19.8158158771352 20.6609150206836 14.8333150289404 17.6435044197787 19.4652148057767 18.8467739792847 22.0847807322713 17.413075073424 16.1760899586584 16.7212404350208 18.0362837876698 20.6058836080749
TCGA-AR-A2LK 19.6639508463008 19.8812983058414 21.0130462978147 17.5675850625371 19.1063100487247 16.0228563473388 17.831822844 17.1036157177054 18.8357873498336 18.2513116986958 19.8286106710042 20.1014828154797 14.4161073099071 17.8374121133604 18.9276741507505 18.1793388147947 21.9378370870926 19.0313894901289 16.3891843452412 17.7589825187128 17.5498196559461 20.425702101452
TCGA-A8-A06R 19.1907565844429 20.1961587466511 21.7060365953139 18.7480640288641 19.7944951507475 16.2349679880283 17.7802707745981 16.532291286281 19.3529001366651 18.7723398659184 20.9425584556491 21.156366596969 17.0428092216134 17.474566904262 19.1872938796738 18.8793712978999 21.1442827512522 16.9403527931327 17.3902453721729 16.8572060227988 18.2240774887292 21.0039001169806
TCGA-AC-A3YJ 19.4520525825358 20.5611725673824 21.0736334593313 17.3983409363 20.5406953241506 15.9558211937756 17.4127502150133 16.0606463919182 18.3887372389156 18.9582299690431 20.1784025022229 20.9355397299144 15.5999711944834 17.8313532496345 19.1789314797868 18.3431672782051 23.0936443838799 18.3877293282401 16.1289654212768 17.4255651928621 18.0589398186256 20.3783649261518
