X4852 X7200 X5473 X4161 X5196 X6366 X2925 X4160 X8484 X2532 X6363 X6360 X185 X6019 X6869 X2587 X2151 X3576 X1524 X554 X1910 X187 X2149 X351
TCGA-A2-A3XX 3 7.58024844467155 9.0092436979092 3 9.24915699952773 18.0409293460574 11.2599854931098 9.77948917747117 3 16.7681329953888 19.2374045941254 9.30362796608565 11.1688804190577 12.7354531068529 11.3842431729138 6.82851541687116 15.0871724932241 13.5851787233941 13.1576391701711 11.7406884769899 15.3292882332001 17.1092852438558 17.7523398859676 23.6487698920915
TCGA-AO-A1KQ 3 20.3932321477022 10.4818654904531 10.5967217549074 3 19.0681844358078 14.0426182814161 9.27218702911192 8.80542871686242 15.7796732178974 18.8132574980383 11.0003872536925 12.6527544075096 14.8651049757287 9.76487149035768 3 16.5340491469269 14.4915567257153 13.406381551824 11.2961255289681 13.7939211836311 16.8508307751059 18.0416990352058 21.631168021807
TCGA-BH-A0HN 3 11.9227933060261 3 10.7029079945836 3 11.5363594028605 16.4571192553983 3 3 14.3623977118988 12.7840839305477 8.33041398137289 10.1160397282171 16.1264828704198 10.0214127650461 5.93434572339129 16.6763793799708 10.5042039398978 17.7443556233616 12.3333701252351 13.198036532205 15.7413436754421 16.2227928992674 20.920244666947
TCGA-AR-A1AR 3 11.4038874847393 11.4793795613767 8.62043708726983 8.74586413832014 15.3151184957659 10.635728633985 3 8.8069602701675 18.15229686611 20.8147981217846 11.001940589657 14.0885692273955 13.4198721377375 12.7746509462094 5.03157772964504 15.8683878185442 17.8194870654953 15.430075823295 11.4815542787301 17.8678629707424 18.7602049009088 18.6636450787079 22.2271320137057
TCGA-AO-A0JD 3 8.66966165840425 9.12981530488301 10.8159208997337 3 15.5075469519211 19.9063574269376 9.90081519850584 3 15.396331856758 18.677370940843 3 12.2885620899617 11.7340156095072 11.6129182883104 3 16.0690467115495 17.4856698990313 14.104591679534 11.2793948186039 14.5663799429958 16.3079178062925 17.2766170032875 21.1720192580388
TCGA-A7-A0CG 3 3 14.377609884758 3 12.1823749641668 18.9127658610312 17.8970216872624 7.95601202940057 3 18.7468491491174 20.8648219062882 11.6536967565062 14.7115136634619 11.4652801348268 15.2344657285517 5.5507070370469 19.3403293173904 12.7470050763465 17.4028842798068 13.7362382032549 16.9061269699942 18.6501829340117 19.3503331020908 22.043948090123
TCGA-A2-A0T4 9.13579485966582 13.0137572798789 12.0680413362099 8.62539124316792 10.730591682832 16.5199525226907 13.441905337028 3 3 19.3905389194656 19.6561999192521 10.5237924329263 17.1021094734274 14.1667053447306 15.5397621712572 8.97698758532182 18.3948222515593 12.9001447480713 16.9030593242792 15.1244383745449 15.7527996055744 19.0863879500448 18.9331803709463 21.7783944576602
TCGA-B6-A400 12.7416934403542 7.31907162012344 18.7804078141347 12.9997598441028 9.9679133298718 19.4819256910231 7.35346929126261 8.52426774594079 10.0296582887162 15.5934828332757 17.7248867023289 7.49213801792807 10.3464876227752 13.8300641610685 13.3610507764604 5.21458936424543 14.3282532060558 18.219941664653 13.1547735438573 11.1637748446689 12.5343045460401 17.6144662939202 18.5292824414147 22.0069100183344
TCGA-E2-A576 9.10579338828274 13.8406901028105 10.4581771640604 10.8934351491505 3 18.2272424127496 16.465322279549 3 9.76886627810623 18.7100682878402 18.8672206658026 10.7552201987515 12.0772705860749 16.0798489841104 12.7092678419629 3 17.6980060131387 12.6893713961291 13.8912688772097 15.7742643572131 13.7388791753304 17.7598482373154 17.4402711523201 20.452336457782
TCGA-BH-A0WA 10.1940620028781 9.10255592250666 11.2910126670344 3 3 19.7825049084408 10.7094674187398 3 3 13.9612934685658 15.5029598227599 7.73336813196674 11.4412723069924 13.4130591574781 12.4494223629955 3 14.3897366762896 16.3397873020155 13.8012481450098 10.5007087616095 14.4588176571251 17.8814774532627 17.6028661865136 23.4063285698653
