X63928 X89869 X114 X111 X6790 X995 X196883 X891 X6196 X6195 X5499 X818 X801 X5566
TCGA-B6-A0IP 3 9.21807615814621 6.69225137578995 15.3412365385515 16.2110594019922 15.2690607436187 14.8525289932203 18.2113510672793 16.487436909053 18.4991362547315 20.3832623531088 16.4619490190913 19.2638591678243 18.6614546384272
TCGA-A2-A0CZ 7.7436414049711 10.8870459754161 3 15.6262100311082 15.4411251869619 12.5449292616064 15.06622804872 16.3241494100091 17.076511601766 18.1180387787048 20.402605434618 16.8163720943629 20.0638426298698 18.8878323522453
TCGA-AR-A2LK 7.09443978459098 6.62141377062022 5.89268045363607 14.1276165652364 18.0037599705157 16.8020439258111 13.7758531299227 20.1276757980592 16.0391580379893 17.2636718680848 21.6067270451666 16.4075758449001 19.9861715440832 17.8871952887035
TCGA-A8-A06R 3 3 3 13.6508495917405 18.2537394459783 15.4167210701042 13.7832947925419 18.588169566206 17.5594494944153 17.2396121192807 20.7877234232997 16.9919033844282 20.0466046971514 18.1099382870999
TCGA-AC-A3YJ 3 3 3 11.3203888478177 15.9029265081599 14.4982242577803 14.7856254158436 17.7501510322696 17.5860340929326 18.9421952683576 20.7974236657182 16.7756951871754 19.7214618271944 18.4950236207768
TCGA-5T-A9QA 13.1547055834486 3 6.76996531331549 14.652768024177 18.4162753953523 16.140210781722 14.0252478493081 18.914806054017 16.0016584177531 18.0572277443004 20.2144610327929 16.8817658886254 19.6145097308273 18.271629520363
TCGA-A2-A0CM 3 3 3 11.7370448258968 19.2486906321764 15.7955313875278 13.8202148226862 20.0884086180026 16.1810303151367 18.2101113130298 20.093972160453 17.2848893394015 20.2624608041704 18.0424340925597
TCGA-A2-A0D2 7.43278270579492 3 3 11.6994319089416 19.4403420688767 16.9922531723263 14.2525781616829 20.3298275146773 15.7334742675198 18.2511680256777 21.6658300990487 17.1068394750628 19.7552548883781 19.4610504267755
TCGA-A2-A4RW 8.05587680307147 9.51939278552408 7.7433523787487 17.3440805543841 16.6713105404179 13.6117425478567 16.5293906291452 16.8949338453068 17.0202124216082 16.4572139259962 20.3100201218894 17.4460402235569 19.9240568305604 18.6762193953247
TCGA-A8-A095 17.7736314558178 7.74918269912334 3 13.6193273475667 17.1939764228897 16.0693144031839 13.7791282375347 19.2442908349873 16.3142961851738 17.6605894217364 20.1804119613269 16.3121910012949 19.777562601778 18.5892256716153
TCGA-A8-A09R 3 3 3 16.702005511849 17.7167195861193 15.3482920513774 13.7999682846327 18.993843459772 16.9039368121302 17.6628826506314 19.5709958491729 17.1663149323546 19.8882310720092 18.5653874610954
TCGA-A2-A1FX 3 7.36787192022293 5.71882010297424 16.0437824799503 17.6290055380299 16.7520372464495 15.430774718711 19.2067532546427 16.0066274059283 17.1812020799515 20.6643922937292 16.2728236744812 19.977598856208 18.5073214047473
TCGA-A2-A0T6 3 3 5.92116667508023 14.7037974310693 15.262468367492 12.3020616294929 14.5145346330989 17.2275317982388 17.5766154933341 17.5531002030135 19.7987195429559 16.942771341985 19.7540726561043 18.6244068954486
TCGA-E2-A15F 7.57401236169618 8.61850427159268 11.7770078861413 16.1512910800617 16.2752331549395 15.4700550053802 14.0521625950594 19.0777536694341 16.0193740910551 17.0068792605248 19.8448849312043 16.3351981266769 19.4087650296075 18.8969059267082
TCGA-A7-A3IZ 3 6.82881259398481 3 18.3190004953817 17.0042618999432 15.7926619333006 14.8166323758859 18.8602957301776 15.9586498465913 16.8022538065156 21.7120366659319 17.0869010027561 20.0085893729654 18.5609185112317
TCGA-BH-A1EU 3 8.73138014682424 7.16428505063954 15.491579575617 15.9668442627662 14.050335761488 15.2909589099547 16.8528728476805 17.4026602640441 17.2990711037363 19.2908727765917 16.7338874949787 19.8396190418174 18.4292771572954
TCGA-AN-A04A 3 8.80038462950543 3 13.739265337474 17.0469120753111 14.9829456391613 13.9242860202016 18.3154246543144 17.6441848435068 17.7365914889851 20.2537009668251 16.5808836435456 20.7664051663732 18.8184833233876
TCGA-A7-A0CD 3 3 3 12.7042691921298 16.5636565572997 15.3688327170805 13.3422343791151 18.4731987801903 15.8687653390771 17.6829484678756 20.2670380591095 16.1399298276092 19.0551001956504 18.2509697302814
TCGA-E2-A156 3 3 3 18.155243995558 15.8528543606193 13.7761087599688 13.6500766512117 17.6779680595234 17.0025587429287 17.9467856085527 19.8255997497897 16.614810404701 19.1716095318986 18.8308068197185
