X3381 X1287 X10125 X3908 X58494 X11069 X7450 X3384 X83700 X5175 X5770 X207 X5908
TCGA-AR-A2LK 14.6314997698125 16.303601685451 17.115602180328 16.4291090048114 15.2068285628385 14.1544390969547 17.3258545671682 14.1478547367862 16.2808148952085 18.1998960633704 21.5437268837994 18.4825642079802 15.7120572478858
TCGA-A8-A06R 17.6004287852887 16.7977030467591 14.9227707634534 15.7466924544241 15.6675665082229 14.825894030727 18.8214915287411 15.6158761208924 17.1151793400059 19.2393048222041 18.5565700072263 19.5428183568634 15.6826510935398
TCGA-AC-A3YJ 17.1984647328966 17.5833224849835 14.2063239647107 12.6826361980204 14.8105156854194 15.4535107818781 17.6433868126558 15.0902204849905 15.2966951823579 17.8259351772626 18.0721608353239 18.5309739440887 15.0269601486019
TCGA-5T-A9QA 13.2521871038683 13.9856133361707 13.2869549803298 10.7648910138574 12.5514929665767 15.12682456667 16.2336144435563 13.7871029961763 14.3366193096509 17.4334343306701 18.5608553170287 18.5179921818441 15.4526209433982
TCGA-A2-A0CM 15.4642500705096 14.0279327160641 16.2877509610613 14.0758011538192 14.9728903415484 14.9015081712073 17.5434264720002 15.858372302426 15.7609491847329 18.6209443374254 19.0238417282569 18.2183794365929 16.3533563621457
TCGA-A2-A0D2 13.7961867285329 15.0651334184366 17.323114651901 14.0333670378399 15.0110443649962 13.57822067394 18.9213282168673 15.1435521121452 16.160301208066 18.8317349593489 19.1733833857656 18.5216604015254 15.4568693174659
TCGA-A2-A4RW 10.2300773699714 18.0563609364506 14.2187617954828 17.3705621907551 16.2499886303964 16.9964560538891 19.082143868575 15.2394081747169 17.2396318893777 18.7598950044722 18.8976823246819 19.1586847576853 16.0847759189524
TCGA-A8-A095 15.0264268175026 19.161939009141 15.9542482488481 16.3454713914748 15.6644865075362 15.5433318476744 18.8045682894101 14.9819782655305 16.2277469235575 18.7776985280521 18.7008892133756 18.6280825978378 16.0312467729966
TCGA-A8-A09R 17.4051097065727 17.2509332297832 17.0408616903743 16.010078155487 14.8129195908068 14.8258857462558 17.9882468875977 13.9666844644375 16.4121082572861 18.4347559276434 19.2169006311239 17.8123411177576 15.6174131384376
TCGA-A2-A1FX 15.5628077189563 15.6685384411104 19.1785424810733 16.6576386650948 16.3707007287326 14.6950939213575 19.4661656663514 15.0250363466325 17.3360243629353 18.6299054418066 20.5756730252573 18.5744269935315 15.6352650170006
TCGA-A2-A0T6 14.0908400462923 18.8399194867333 15.0133783990451 18.2135694568461 16.5941736072557 15.8043612329236 18.8276377988736 15.3267248817714 17.4407890783795 19.1980771449415 18.6498185415957 18.203212192664 16.1500268943096
TCGA-E2-A15F 13.0912863412237 15.5957899331343 18.2263662797685 15.5596907057873 15.0569709922122 13.8079294516458 18.2830347278303 14.362147135072 16.2952097787497 17.8816216970035 20.4153831767199 17.6043600455079 16.092921358559
TCGA-A7-A3IZ 16.2860253889799 16.9824635830617 17.2466307921233 14.7470149162916 15.1176554246839 14.5932505081143 18.6565187140278 14.3646157412218 15.5215089607417 17.9985467345913 20.0610229866189 18.370757344294 15.5212714754162
TCGA-BH-A1EU 12.8114706664482 17.9275963114624 17.8685738710139 17.9672096262661 16.9169095204345 15.5318104699989 19.8392612402853 15.6980251806055 17.1372705886246 20.0063918054836 19.2515296927487 17.4245142918122 16.5173333344913
TCGA-AN-A04A 16.7548832376804 16.6929043110785 13.0572344406594 16.9080168550819 15.7751044763479 15.5746771554324 18.8518159366932 15.1996177403451 17.303172886082 18.7772962546568 19.304227588253 19.0385234830831 16.1916768768959
TCGA-A7-A0CD 13.6613752740682 17.1335194038038 18.8838888886267 15.6875001609766 15.2592457012628 14.8870450636073 18.8453876738691 14.7522907772605 16.1613065965987 18.4821625411876 20.8559182856156 17.8197780126961 16.2229449415657
TCGA-E2-A156 14.2093103028483 15.6806135724255 16.3905100356448 12.769748786462 13.8926750963277 15.4127382134106 17.8027644625143 13.6862221560117 15.2422606373445 17.9252200453919 20.6227363101719 18.108392906216 16.1582818484794
TCGA-A2-A0D4 12.33788404525 15.4538862383637 13.4706732824605 15.9539829716438 15.6118224085721 14.2982250711657 18.9387305567831 15.8099635595629 16.0976079785904 18.9463025289266 20.025109148579 18.1325321830238 14.8990390875391
TCGA-A2-A04R 14.7614926345198 17.5424348437759 17.9637112151123 15.4186486185432 15.1035831575566 15.1859777095341 17.7980125040442 14.3660247058934 16.3800370809464 18.0415862117274 20.7562011286171 18.1851729821703 16.2672855278539
TCGA-AO-A0J4 15.5439677061103 16.1807737950844 17.1781249393925 14.4155419145964 14.9258035919347 14.3314865802632 18.3953690443297 16.69271399297 15.623350961822 18.6751620073791 18.7130341891405 18.2519780101698 15.5138808957139
