X4852 X7200 X5473 X4161 X5196 X6366 X2925 X4160 X8484 X2532 X6363 X2864 X6360 X185 X7476 X89780 X6019 X51384 X6869 X846 X50846 X2867 X2587 X2151 X3576 X5733 X64805 X5744 X147 X1524 X554 X146 X3357 X53829 X1910 X187 X9934 X1902 X2149 X54331 X2791 X351 X6915 X10161
TCGA-A1-A0SJ 8.74019801114965 13.0709565033196 12.2505058398203 3 3 19.1059557533549 13.454755534961 9.45928928100177 3 19.3039636779089 19.2813117926319 8.41980954228912 12.1866207918225 15.7269176519507 6.52984082549905 8.08546948812671 14.218223190365 7.93680019441181 14.4009098006583 6.31461805631413 11.8142799167992 15.3734749006421 3 18.1811582062326 14.5793896911744 15.6599775363371 13.9483564643193 13.64673833039 13.7283852997979 13.7364271639058 14.3559486696954 10.1243378822087 13.2094462211652 14.0939122879681 17.892192360306 17.0811356169427 14.1017471203037 17.0369237762199 19.2895941291452 15.9722836219089 17.8191533053199 23.1089707287237 13.757099892762 16.5197559833894
TCGA-A2-A0EY 3 11.2503654236303 10.0243328290737 3 10.8478406931963 17.0821329210765 11.832465223585 7.84396346680395 8.3545332361926 17.7308946664575 18.9714093992576 11.1332079593651 10.7336169224507 12.4055189321065 8.36951614935242 8.59251345695918 12.9317002482393 9.42575056923655 14.845960085347 6.25628256267067 12.0383218211689 18.4930228021462 3 16.5197419027295 14.2753099018801 13.2817724583188 12.7656372304902 15.4283782474798 12.319017592595 14.4736398148822 12.6952015882578 10.6411651242329 13.9017777925214 14.7139462426984 14.3279432735076 18.4307162622984 13.831295627952 15.7116057910179 18.2224696232333 15.5107756160785 16.5291970970032 21.0958759574007 13.3704254205476 17.0300930535972
TCGA-A8-A07R 3 9.35390258666476 3 3 3 14.1353143760772 12.129809859327 3 3 9.58275074930051 11.2738426632317 3 7.5794390343769 10.9870690861852 7.76421795712263 11.1656631644625 15.223999503821 8.23857375410888 15.9702010476316 3 3 12.5759759069836 5.28664969492638 15.1463546165425 13.3455282543329 12.117908682612 9.76096307855861 13.3204719066797 18.220643958723 11.811094043993 10.1725427605361 9.85247172000379 12.3644836875304 11.9438357256535 13.9078763247317 13.3017178379319 11.5857104450524 16.3568558794686 17.1823616583709 13.5726277544387 15.4027789203356 21.6478544850968 13.9265865719023 15.1070636192817
TCGA-BH-A18G 3 3 3 3 10.2401622810275 10.6245727645329 10.5630047718154 3 10.301990938639 3 11.4562977301163 3 8.72828213835821 13.3784600073062 3 3 3 11.124999132863 3 3 3 3 3 14.065943618944 16.7692905828396 13.1759931453795 12.8581644084638 12.7491436392332 15.2759268578976 16.3749397884578 8.38057099756574 11.9327890357226 11.7985258010412 14.3768433903987 14.5175885663533 14.8010185385694 12.1001674748025 17.5633752625034 17.1072138167711 14.8801094595554 16.2541274652617 22.7258147608319 13.9763054172586 17.588708258032
TCGA-BH-A0BR 3 3 10.8904275036533 9.43165962275049 3 17.8453507151278 12.5133655674576 3 3 16.9058825673725 17.6265408422129 7.66489357672406 10.0241140717463 14.1158114822597 7.67784907154515 11.9668278862599 3 3 13.7209566823617 3 12.4493357820817 13.9978294931023 6.57719392027021 17.2891536537603 15.0398884209689 14.1337665442976 11.7316131176265 16.0987283637713 11.4814328131153 14.1060416819141 11.9086292051512 10.8010369955301 14.6928591262785 14.1436831381171 14.8991937838801 18.5978982242306 13.9953843739683 17.2288673549347 19.6902029528658 15.9366566972952 17.5574213644184 22.5154581837953 14.637805065654 16.6405919491812
TCGA-A8-A06N 3 14.8363764905033 11.8066643273692 9.79446825144471 9.60232716835793 3 16.2432349384556 3 3 11.7887826918502 10.8154173754386 11.7840645949872 3 22.0906012176172 3 3 15.3073191454367 6.30824000821267 8.65078434093556 3 8.93078933231306 16.3033941035393 3 10.7328884565426 12.5835623105604 18.3938145926445 11.1405421481505 11.278857771557 15.5666578968737 14.6199660662912 8.32377299848614 8.98763696012399 12.9229700891325 12.964565039991 15.4576443994552 16.1228245136972 10.4625530181092 14.8237744901095 17.9823889091639 13.6633154403935 15.3835463699218 21.6399690206221 13.771349915164 15.6824044688928
TCGA-AO-A03M 3 8.20619531517566 9.64905081758075 3 9.89021212359982 18.9900424381314 16.7990566018135 8.44767186033996 7.98647209865016 17.7635408873404 19.2417204428227 3 3 12.6579285562064 6.13051413471283 10.3083046155017 14.8524035850721 9.78041646959344 13.8980247426057 6.82384806968438 11.6605411147738 14.5709895197012 3 18.5992721213978 12.2157424569983 14.2089259167635 13.2572712498202 16.380853784233 15.1863902677798 15.0852104433686 12.6385955396914 11.7611454447762 12.7922437875818 15.9763618182829 14.8109003169639 17.3218948029063 14.1338594426115 16.6394595773746 18.9157502258793 15.8963844596216 17.1797690678106 21.3827072319951 13.8983779359743 16.7151227327575
TCGA-A8-A09X 3 9.78079759997817 3 3 10.4871029249619 17.5310915778924 13.3898445129037 3 9.55667820569639 17.1489086792955 18.9182126386816 7.60373220355738 10.9550849214964 11.9105988751752 3 11.8467674912824 9.99409604083752 8.66012379515022 12.8685971211064 9.14709149997999 12.5010126817981 13.1411252493254 7.06130329220839 16.5247407770173 13.8526098684497 13.6713915685935 14.5158369528365 12.5827624045367 13.6555657881681 14.5964995527538 12.5500910287462 10.0893823147139 14.3127892515803 15.820376714351 14.893682240357 19.1583204402611 14.6165360958809 15.4803101418915 18.4829682685267 15.9687734526587 17.3991199087257 21.3087544053636 14.5557254458251 17.1131883836043
TCGA-E2-A1LS 12.1824160143551 8.11927694862896 9.56055472797366 3 9.80157463088506 13.1764862887411 11.1185510213489 11.912774441094 8.87559879433357 15.1964591909588 17.2956538061324 3 9.27752211051476 10.9691544688135 3 8.54065015763857 13.7525466240038 7.42467953128228 12.5856516515258 3 8.1493588165704 11.421184810655 8.06253059849567 17.1858684730204 13.0867522312584 14.3415293111623 11.6297554655399 13.2608343202612 12.5136782907602 15.2896527065079 12.2981242940252 7.63999358332133 14.0238220100047 14.4775952830498 16.5362631962312 16.8937416894167 13.7587264010306 16.6087090045103 17.9301826625567 14.543175190137 17.4944880931193 25.0005181835954 14.7193675437929 18.1876311666208
TCGA-AC-A5XS 3 10.2726638726584 3 3 10.6599485412069 19.1493035883234 15.3956849702768 3 11.7184580216632 20.8397807274512 20.1310057366091 10.0497589180256 12.2129138394838 15.5661896697887 3 14.4720727612994 14.3534412001973 9.55743100514145 13.605638498578 3 13.5582585085746 14.6423826943089 8.18612964254348 18.2737254721603 14.454945112527 15.9295858651628 13.9142818778973 15.0280021482258 11.1331376666772 16.2281243045403 15.0254612706439 11.6965617814739 15.3582475530473 15.7626485919567 16.2595988533394 18.5388814150336 13.2663447861374 16.0739196242338 18.8399415491077 16.0596114763223 18.7644516265209 20.9156125366169 15.3142502948787 17.4480846714631
TCGA-AC-A23E 10.4303522634995 11.1317024910629 8.81311254452682 11.7134948231865 3 8.45064406183344 14.977793359015 11.740151364655 3 10.5583340035238 12.3698723477591 3 7.5631915172081 16.7812059059785 6.26649973058624 8.3715890787286 17.0342434983947 6.71240692979502 11.5427984103564 3 9.36773473904167 11.4516256832333 7.58515909504072 16.1712638884788 16.5104457588445 15.9888132250187 14.6379816276624 17.5636661911391 13.9822556384618 18.0840101082706 8.75742809661638 10.1550580978114 14.5372439652857 15.8755903119911 16.290301931727 16.3968712989966 13.3657846566385 17.9574215878929 18.8168701334378 16.3287515731181 17.5010909681644 22.2370355084655 14.8497183199539 17.7370469979075
TCGA-A8-A06Y 3 9.82158586289313 3 3 3 10.4998075517655 19.8995797790174 3 3 14.3770653735789 12.9656287949017 3 3 13.4050142283542 8.22193006456779 10.0591457109984 15.3817138365645 8.70047847984669 11.9421732711214 3 10.1717071561366 14.4578486203997 6.5565282649601 15.6876729359939 12.2538058822349 16.7130060793356 11.709096351024 11.7952133050915 13.5509395624261 13.9460446814719 12.8845808390747 9.64892820497684 11.716355768836 12.6133045496584 15.782209192334 17.5832245120502 12.3019693075081 13.4790582561224 17.394069054508 13.8549752914049 16.6974528665343 22.2241478795346 14.4200522807452 17.1713922640052
TCGA-BH-A0H3 3 11.3519195468064 9.82827633507087 3 10.0696987304443 20.074486383709 18.8964505068881 8.62469126438261 3 19.2148806274233 18.9435034382033 7.20353173821582 10.994240309383 15.9846707170038 8.74855624385943 6.88105344377392 13.4381235799063 10.3356242229895 13.8725081278461 6.08060381046926 12.7377033716492 13.2290765846174 7.05652578998541 18.9621039717311 15.5769959659994 17.2673444680473 14.1100909401887 15.7756754528251 13.2901516220176 16.7517915657324 14.1631629572973 10.8575084131728 15.2466275536314 16.3304883859516 15.7606729442464 18.8062374662294 14.0387628866951 17.8734034169081 19.3885971379485 16.6241078100448 18.1571181825663 22.5351191943043 14.427676607215 17.8994851093276
TCGA-AR-A2LJ 10.5196666429236 13.9333137573325 3 3 10.5432286987815 20.6720053500302 11.9506222935687 3 11.4093095418035 20.1143301157225 20.5552790184531 10.9274430125693 11.4692020063813 14.7449658471307 9.21754202426314 8.86611977274283 14.4770799283177 8.14416414082167 14.0730205714598 6.50836868552359 12.9439431061301 15.6055266052348 5.68710694671308 17.6228200882272 13.4818517059664 16.6825214612217 13.797021140824 14.5526778138705 12.9190472520517 16.6696521133271 15.8937668209642 11.2395006676272 14.9986404435934 15.096553114559 15.7838325617131 17.9427334597389 13.7752139148401 17.4601428260771 18.2733643306803 16.2538522684097 18.421558944689 21.1464434971342 15.0947923816591 17.1615263106813
TCGA-A8-A06U 10.8136969700572 14.4599007074544 3 9.30635106302034 3 17.2120455867821 18.0319040075209 7.99802251037948 3 15.2363887889003 17.1921853098305 7.54326713722985 3 15.1943740584868 8.12055112000657 14.9887623427038 13.1938687977027 8.02813415326854 11.898111992535 3 11.8261094914444 16.0362607646549 3 16.6113104868904 14.3742194462696 16.7997507673494 13.3497114989863 13.8760835381631 11.89415076879 14.5402556583345 10.5386330657305 9.54573193152905 10.9863175532743 14.7060334370746 14.8667934701333 17.0775309668879 12.9517534964768 16.6985044168982 17.7438037053139 14.8357868065591 16.3087343765501 20.7385687594261 13.6170376441726 17.0008213540412
