X63928 X1852 X8823 X2253 X2264 X8913 X7042 X2353 X2247 X55799 X10125 X2252 X10912 X3315 X7043 X22800 X3725 X5924 X2122 X4214 X782 X408 X23162 X6196 X5154 X784 X5155 X57551 X6416 X6195 X5871 X207 X4790 X6885 X10746 X5908 X1386 X1399 X998 X5566
TCGA-AC-A3W7 7.05630113428275 11.3354697317632 12.2538281526616 7.78387113385947 15.2919007445289 12.4808981006726 16.8904576459349 20.5538371809058 14.4816929997106 15.0539500739109 13.3933747827454 14.3704108057857 19.5223989857388 21.8391012274947 19.1718693097366 15.1695966844232 21.8455399690512 14.9015858460062 14.814459817506 19.2215809402154 14.3816677202344 18.015377553083 18.0775962538855 17.4636483081644 16.8635157903711 18.6902809576852 17.9189966308667 16.1927755666769 16.7297862920723 17.8521176619776 16.424731395881 19.3527273644559 18.3867840819654 17.1918729809217 16.712783982807 15.8714114403334 17.1740763990527 18.1908125785396 20.4735017596683 18.6360652958727
TCGA-BH-A0H5 8.38018449256085 12.3743905796593 9.47608952655981 3 16.5018683425517 10.6825642343726 15.6185345753671 22.1028636213648 15.0098517120757 12.8017548079744 17.1069206068921 15.3364078547957 17.9578308081519 21.023960659121 18.2498964314268 16.6503350832996 20.4453161937936 14.5809697843347 14.5509854546717 18.7219364422846 13.9710871786 17.2915763109733 16.1899030851688 16.9123210722036 15.8084800782531 16.2417037514218 17.4335980057387 16.7973232617356 17.5366400074721 18.4320427942328 16.5508876028845 18.1341421608442 18.6602893377122 17.3614343978875 17.0840403929941 16.1050459208743 17.8065481142125 18.7858458215311 20.9732023944122 18.4987669076571
TCGA-C8-A1HL 3 9.67188035762109 10.9988163524618 8.67075621489069 13.9364961320681 10.5031764584946 14.2582583266553 19.1673285776569 13.8141927100315 11.3041351470977 15.6469153963834 14.740514096925 16.0500447034769 24.2014163351275 17.7799973338119 15.1823325605028 19.0734691386418 15.1395400973432 16.4865168345026 16.6123374721802 15.9299630646263 16.6739144078006 15.9851225855439 16.7449227129027 17.6076738622403 18.788999486236 18.7382319122991 17.3753287184921 16.9705068916365 18.179389821093 15.6302533236968 18.9895996922305 17.3165755168344 17.4572450037696 17.3830152058966 15.9671797909576 18.3360865693041 18.3234018486431 21.1516257761699 18.8167222083532
TCGA-A2-A0YF 3 6.77792577883813 10.2362188312497 8.68160053427282 15.2057006410358 9.40311691599782 14.0443465801683 19.1106494669137 13.3712826520105 11.244998053963 18.9196502050708 13.6651337326612 16.8964486703521 23.0578039847448 16.9008859980268 15.6850149424736 18.6777570245075 13.9321127080216 14.941595975766 17.5434942607412 12.988975700712 18.2464488058215 15.5600381051008 16.5930321663377 15.7214791950331 15.3492170439492 18.0698587297607 17.8048369478241 19.1893707195455 17.6951434614443 15.1783130104728 18.0185261957053 18.0687635649438 17.6889996679777 17.775667419987 16.0889949239316 17.9466370778841 18.7103635801785 20.5280865315022 19.0131731118139
TCGA-E2-A15J 3 10.9865024789213 12.9957923735342 3 14.3998505761096 9.37257731726307 15.589569015529 19.5650032863215 11.1493410770767 10.6526129515721 11.3009538787009 13.0422351132601 18.2049316600402 22.2799020195831 18.4181000688201 16.4955962192478 20.9545472301643 13.7536558694946 13.4753335581299 18.7940026739153 13.4356079729653 17.2158829435412 16.9547916068811 16.2250000880152 15.9324371935282 16.7772523036656 17.5404985646571 17.2566597791335 18.1066010259667 18.3808626461566 16.1797601220558 18.5312275084215 19.0260762298175 17.3004621521952 16.9744572818687 16.1378565632572 17.8220334463953 18.8819354737256 20.330341691305 18.9639376749251
TCGA-BH-A0BW 7.32103153563062 11.2009856084785 10.3703990271831 3 13.900612920955 9.55716491572654 17.0487748871207 18.0877627761566 17.735109483243 10.1925220929725 17.3200117100898 12.6487264574101 16.003501277431 21.2227737439481 16.5254364248447 17.7190884378771 19.5173805831823 14.0856371804217 16.4569642583191 17.3727474210834 14.4111799365249 16.5031750074434 15.9410017701737 14.0639920186181 16.4902177334695 14.8158270683855 17.7160887833753 18.5021291344888 16.526842908978 18.2578293786463 16.3616846078159 17.329316385854 20.1244294832483 16.8818700339988 18.5460192380229 16.4621711150121 18.2596268535838 19.1598674980874 20.658558015139 17.44037667576
TCGA-A1-A0SJ 16.9308590252956 12.4087441975892 10.2035090348691 3 15.3915477631712 8.51668966354873 15.115394437216 20.5788298113856 15.8186226512217 11.2335849691976 17.12127477977 15.2368627054418 16.4999668123246 23.818794171557 16.9804114096519 17.4601798748627 20.8114569323679 14.1494667351889 15.0771022551135 19.5948453467017 13.8769179303295 21.0019226192288 14.9853281471059 17.4222568246115 16.806482235425 15.9774429982953 18.6550398220397 17.7191857012701 15.1937745364215 17.0778013311643 14.9699267402853 18.5311892274098 17.7645896941402 17.6292481988452 17.4203889876627 18.481111196713 17.7756643980205 19.4846695781263 21.3092771012199 18.4729307651209
TCGA-A2-A0EY 8.88660555868367 13.4495645378688 12.3325579722855 3 16.8796457158932 9.96195851763872 16.3356864560304 19.6206078180509 13.2937134735027 12.238927109629 15.4566551479612 14.9746180790667 15.6185829832624 23.2956941285172 17.3960413772345 15.9164846069263 19.5539156096012 14.5876412105078 14.3932655734892 17.5849461147008 16.2243745024161 18.4361767198936 17.8077257922817 17.2339014244139 14.8025971198061 17.3059152451108 17.7442180194982 16.7205617046336 16.8540228270262 17.72485931993 15.7565513193032 19.2309569015164 17.5411305018323 17.6198629622363 17.0354104785793 15.4076818861288 17.3086908470961 19.030100102825 20.4976186838905 19.3405143620118
TCGA-A8-A07R 14.1875842427521 15.0422892716012 9.93152754065144 8.85679469180239 16.7262995310471 8.9709516937821 16.7310617427795 15.0220466149098 16.9710480621781 10.4971008272747 14.9316362331033 13.9303611062304 17.2947580374044 21.3230310824576 15.0924087239671 17.3072057925487 18.1203705322339 12.0629606698174 12.5195271241377 18.0162444803909 15.0135837831988 15.7886281895934 15.0547823009744 15.240222635053 15.2810493409471 17.2987046694765 17.8416726280216 17.0193595236421 17.1461829254799 17.8129590262148 17.1327804662203 18.0658274149146 16.3726991753877 17.3711273711429 16.7119928916124 16.4359338508734 17.5977474337345 19.7870123810117 21.148523721311 18.5114213698996
TCGA-BH-A18G 10.8422977028725 12.0329575840381 11.3700719309095 3 14.5357506862539 12.1571521924511 14.9069159254996 18.8353449715522 14.7264068569745 11.1916194939551 16.7469628323045 14.2283692825638 16.1881036516026 22.6838306899613 17.3433710574906 17.9064642543331 20.4787485563997 14.6725565329376 12.4686511023976 17.9610738178851 13.8965346022027 16.2755025844764 15.2754558581961 14.437838965208 17.2013701094684 17.3220488445977 17.7532762132952 17.7315135808274 17.1283392752141 17.2695389613876 14.8067447522335 18.5717770303022 17.4286071548676 16.7610510930066 16.8421533739422 15.5895823071724 17.761626691288 18.3560763163167 20.912522624948 18.7224729398465
TCGA-BH-A0BR 10.3792602656475 9.36005069570006 14.2020580224695 3 14.9449080328493 10.1898359532355 16.3378945025934 19.5214456159025 13.4485163518738 9.60684286161921 14.0345239718218 15.652491651383 16.1743722075543 23.4151058133538 18.5251965340129 15.8794772573126 19.8932707330259 15.9055415971848 15.626452658064 17.3001473573409 13.5595995906741 16.7802833899359 15.8486469327584 17.5932526488793 16.6043943350741 17.2518730645655 18.0213078367865 17.010770603621 17.0083327293547 18.5575414925017 16.5936191591113 19.7099842218528 17.8074968435161 16.951475758483 17.5640942316125 16.2580334141761 17.8346554402648 18.1571150380174 20.9936830807148 19.1137877697081
TCGA-A8-A06N 3 6.51872124337988 3 7.43957404708683 19.5026986152666 6.31809214131753 12.9145180424185 15.8690158580584 10.9385841079683 13.3519496932849 14.8259674835712 8.33136008190792 18.0090522471469 22.0627749473217 17.1321110584505 15.7234371056094 19.441164718357 12.269102545521 12.9697405398314 17.812331473938 14.5456584112304 18.6724002544395 17.0989412678924 14.0318612542869 14.3655310696567 15.9285496272822 18.7902993430601 18.2505980667458 17.0853849802789 16.145734704516 15.887114748951 18.0875463279419 17.425592544642 17.2900753230223 16.8788265005248 15.5082079230228 17.7559586031436 19.8059733484683 20.8758095179843 17.9949407439065
