X60482 X2558 X496 X359 X57818 X89872 X114 X26154 X153201 X477 X6521 X111 X2561 X51761 X554 X10350 X368 X57030 X11136 X23460 X55630 X9429 X64116 X6578 X10057 X196883 X3162 X3099 X126969 X54331 X5575 X2791 X5825 X65010 X84679 X2512 X6560 X54407 X23446 X8480 X9818 X6548 X5576 X5903 X374868 X7355 X148867 X55746 X5566
TCGA-AC-A3W7 6.03688714072683 6.31708281630533 9.24971455384851 3 11.9001363577045 8.6366899913955 6.75454584410486 13.9213093107014 7.20745702249309 13.1276803646151 7.46825034117369 16.558081497796 11.2055013484918 14.3106939190675 14.6691244517013 14.1283122331535 14.5587123521926 12.1726175986659 12.3989230512072 13.3717133424449 16.2119555732954 14.3892730472467 16.083546800894 17.2148998360415 18.0940508712271 15.6656379865368 17.6316616487482 18.8267260841576 17.0484128440059 15.2585327552056 17.0882612912488 17.4201123052934 18.252151437017 15.7772948649578 16.0643311469354 24.7927126039192 17.277160104705 18.9467281800815 18.0335504290173 16.9834781741336 16.8375798655092 18.8962817354383 17.983887795679 17.5701826481041 15.2193139513876 18.6539410512742 17.0397054997741 18.1010920965337 18.6360652958727
TCGA-BH-A0H5 8.8380940480234 3 3 6.61418541897484 8.56911433767612 3 9.73578090976983 16.1543160385249 7.56758699788096 12.8508552945295 7.27154751717822 17.3000841642953 7.34773376960671 12.3887830914979 13.7258591028472 15.4416919369182 13.8844344321424 11.3356112111103 11.225278142189 14.5315069418679 15.2174643692431 13.8675724152936 16.8409790046841 16.5247352185251 14.962629502102 15.2455560457781 18.3355137486826 18.0878410125836 16.2691862718445 17.4929337314492 16.5952820632955 17.320466706491 18.3129552447485 14.7266482840495 16.8909289327608 25.3799104265394 16.4665000236953 18.9693170453614 18.8467911846785 17.1351691365072 16.7061924832642 18.2549481697365 17.9764236346099 18.0378883877179 15.3935193545066 17.873005487033 17.178120310141 18.1935480660939 18.4987669076571
TCGA-C8-A1HL 3 3 8.58761148347664 3 3 3 3 15.4095471419342 3 11.9705068390518 8.3490197084169 13.9819601820578 11.9610968721084 11.9624261177391 12.0631406232274 13.4395175011415 10.1297028005014 9.55797735909008 12.2797076359585 13.2219344065473 16.9730169281892 15.6381401499075 16.1387384018416 17.9345396577422 16.4585766312836 15.6599559655402 19.1638594441754 19.361525325585 16.0281459342705 16.6778268103793 16.9930076598948 18.6894485921464 17.4928202293435 16.2996170232824 16.2859314057258 26.1582317655894 16.4508989179951 19.4745433065152 18.2605555582841 17.5497264479468 17.018322040302 18.4273695723799 17.9266285625751 17.579692007909 14.4331720584283 18.0666357062347 17.355070961099 18.0687038686542 18.8167222083532
TCGA-A2-A0YF 3 3 3 3 3 7.03587163616842 6.68310606124205 12.2926215798674 3 13.8005276199226 3 12.437333244637 10.0399709959117 11.8727437133869 12.1564941117942 12.9169703896369 13.2247400654402 10.0242023069276 11.2930521592031 12.3600133423376 14.7590942258367 14.8131078252079 18.0927854120304 16.8391604312652 17.9162295983419 16.9242057193111 18.847978716008 18.9987341917694 17.8679701791093 15.9321080034935 14.8698958541571 17.5913112994758 19.5335570343142 16.0781782928194 17.7877200203756 25.0964961437317 15.5154768194793 19.146447478589 18.3848916258841 17.4918572907763 17.4237927937063 17.8499274210061 18.5686321176476 18.1954701003413 15.1053264589742 18.7686650806686 17.9729800610632 17.549294854581 19.0131731118139
TCGA-E2-A15J 6.32857956759323 9.82710890156573 3 7.50584721407443 3 3 7.61637788924084 16.6551029419853 3 11.0268512086489 3 12.8828423933526 13.3956994217337 12.4721422597037 7.45648390710685 11.0043690401652 12.6305455512786 9.2992001925355 12.3016446511639 11.06931878506 16.8585524619797 13.2249323116537 17.2184163315046 15.097176327088 16.9351288467165 13.7977929534277 17.5663444992503 17.7847231257398 16.868818522902 14.2877945183734 16.2333423585924 15.6536476640317 18.0081993289193 16.4334981690025 17.0159594905103 24.7163060429313 15.801558952413 19.8423159743302 18.1046442455431 17.3482588898225 17.1097870918095 18.4849388781707 18.2648266943805 18.0131078644483 15.1978313519761 18.2296881680703 17.053916877213 18.8884988886537 18.9639376749251
TCGA-BH-A0BW 9.46787059887983 3 3 9.57824668021432 3 3 3 13.5176926996118 9.59224355557089 9.03633899191621 6.25620213770029 12.5995235539737 9.88959929671515 8.60788766473461 10.3503348898162 10.5626995071516 10.1149691693353 8.74557054698858 11.7107211569614 10.6607521491508 15.904328695172 11.5111294108187 17.8790246084113 16.1175528218025 15.617148974014 13.0430818405631 17.938798594177 17.5333055569528 17.0024514581096 17.0517217834194 13.9401852044595 15.5990237731636 18.6533871203403 15.0515260809574 17.7078053037793 24.3084016815227 17.8758482338976 18.7663838734737 19.128425570354 17.1897602523918 17.1851087244566 17.495588847945 17.553434720617 18.5486905905722 14.0005986611188 18.8055792972424 17.5525453817405 17.6072406970694 17.44037667576
TCGA-A1-A0SJ 7.29979432846902 3 8.06461757725487 3 3 9.0052182773652 7.10504225651548 12.1689745328753 3 15.2388381951467 9.37913860539034 15.9665841414674 10.6368277960221 13.9625504848157 14.3559486696954 14.1510165291696 12.5727435280378 11.1405449778253 10.395896137072 14.0176420737014 17.3436937427891 13.6123783408593 16.788597840922 17.4193460508561 15.2545525979425 14.9179564001314 17.8751309967744 17.86975320809 14.7535754402674 15.9722836219089 17.3030094270627 17.8191533053199 18.7338998612183 15.8202977023771 16.735764916133 25.4855795987973 17.674980264932 21.9698712751034 18.1500601407936 19.2905725298797 17.2862095329984 18.2029185088673 18.383071292615 17.9091688948553 14.6675065276588 18.3424946474023 16.88506143263 18.5036660278698 18.4729307651209
TCGA-A2-A0EY 3 3 8.97890552302991 7.48893367560961 15.0455790947815 9.66879355475549 9.55406642718453 18.6599118217133 7.50245089573027 11.9857019789289 7.20707943396518 17.0380979177538 11.6368995213822 15.658629852516 12.6952015882578 12.3394151013296 15.0951728012629 9.76184822465277 12.3640210462556 12.8627589689732 15.8382459976152 11.5037405416057 16.1130022602511 16.5437278150903 17.7514371076862 14.2659691945051 18.2561609481979 19.1268040468465 16.5710356473723 15.5107756160785 15.2572983983709 16.5291970970032 17.7656204697007 15.7985001084741 17.2480340355608 25.6455409159058 15.8635928159078 19.3736984506172 17.6952721595831 17.4194501951141 17.5093939270201 17.9040414216195 18.3912954266336 17.6151709978967 14.9581179486936 20.1982778324605 17.1660780697638 18.0979324727507 19.3405143620118
TCGA-A8-A07R 3 15.3666322264278 10.7535243680472 3 3 3 3 13.1684867532231 12.7057908982782 9.84780885558663 6.09704764202344 14.7296215277156 7.08556296060595 7.9858688114356 10.1725427605361 10.6897550080161 13.7157435758435 13.2411001279389 10.7573898307591 11.1172805460948 15.9648077391981 11.0026407271814 16.1071755530546 14.2548213499283 16.5961499730573 12.3438106321253 20.6931692896073 18.1488514092582 15.8605398595388 13.5726277544387 15.6944754573858 15.4027789203356 16.996116087652 15.9198744458104 15.9823797205852 26.5344880490014 17.5930791619984 19.4186866212814 17.7657943157509 18.4374509484598 16.3083772150173 18.1572819100116 17.8121976491113 18.4115070758459 13.8471038026006 19.2402837916799 16.4732318433688 19.367531739583 18.5114213698996
TCGA-BH-A18G 3 12.3577983082353 9.94161838549493 3 3 3 11.8377013413036 11.4016494639519 3 8.46628500935083 3 10.6091221824642 13.0649823005513 10.9358761089347 8.38057099756574 11.2700494733857 10.8392540743013 7.96216430931423 8.16708557571966 13.2888603080101 16.6836521007076 12.1825000892896 17.1985349092977 16.1545772628661 15.7751755280888 12.1085019738147 18.1870368880604 19.0309545107308 17.7003910421919 14.8801094595554 15.9100063198359 16.2541274652617 17.2571885588501 14.1894056442005 17.09398182994 25.5688229563038 16.984836610103 19.2224900980879 18.2996959562168 16.939472993807 16.3601900884776 17.9744045247575 16.7341582044998 17.107073861013 14.0046479185773 18.3250620529485 16.9537228319716 18.1321976725091 18.7224729398465
