X60482 X2558 X114 X131096 X3785 X3752 X111 X2903 X2561 X4128 X2892 X55799 X610 X3772 X10089 X57030 X9495 X3786 X9424 X5924 X196883 X782 X54331 X2791 X6196 X784 X6195 X1175 X54407 X4905 X8675 X1741 X10228 X801
TCGA-C8-A130 7.31603734238472 6.67449167651459 3 7.6354235794909 6.79862755554401 12.3798863290606 13.1566615729758 10.5033019479613 9.11740191251417 13.9654751533482 9.83403951212436 10.3964977092444 10.6569278910379 11.28800828238 12.4285411193963 11.2374886382379 13.9172004279614 13.1006149034406 17.90743951155 14.5692089871628 15.5317582755369 15.6614724428605 15.6931072196799 17.7659120162051 17.0184298164119 17.4108332219264 17.6334360339515 20.8105398256737 19.2393868151784 18.8547539967214 16.8320211556998 18.5721715243844 17.6613162003887 20.3660937969976
TCGA-A8-A0AD 10.0988201980194 10.4118585148702 3 6.3967113247954 6.50105135097475 14.7405924729584 16.2953745064563 9.41482438853422 14.4730322539063 15.6471589585843 11.4281382715086 12.3521266939178 12.4982886114035 9.41511748909684 8.26655652509641 9.30320131984421 16.2573222531057 15.1670642995559 18.4978971184912 15.4784841741442 13.7134765652971 12.1780767244029 16.2536436464815 16.6691064624656 16.2350219309654 16.0060708127933 18.2786739304065 19.8676143999018 19.8036386256329 18.9724058849246 17.4696558447226 17.9562995823358 18.0266318715163 19.6650003230071
TCGA-A2-A0YL 3 6.45971400033131 7.45354325003665 13.4511406354114 7.27018805109142 15.1196607181577 14.941930210531 12.3802596008123 11.4509693241088 15.5861739807381 12.282087871169 13.3042059852081 11.0057560506495 11.5247838290884 11.9832032448962 12.8346299503153 14.2722572973118 13.2640758228505 15.8499307937373 14.6227248830252 15.1414600632413 14.2820390967988 16.104452905235 17.8662781911967 17.3205495708879 17.3496352856458 17.2992892715499 19.4387421134382 19.8561258535897 17.8016132271728 17.5134223005802 17.59256086179 17.7948815503268 19.5861731652433
TCGA-A8-A09G 11.5948315535359 8.84407349969827 6.8187630498853 9.14807845067991 10.3156668024357 17.7229056525372 16.5275317578839 9.01259003931259 11.5548632726485 13.8279368656893 10.5532896047084 10.0755890562677 12.996497136329 10.5059448892737 9.65831254643625 9.71399925153545 17.3567854339189 11.6838965195273 16.8162579910408 14.3345926537533 14.1867559101127 12.0493647648623 15.6207993839265 16.4700211057517 16.7911380922117 16.6427496214345 18.553681252668 19.583097521942 20.0519043334038 21.335359361735 17.6532217053704 19.131589430959 18.3155797750844 20.2627500592258
TCGA-A2-A25E 3 3 8.37214773696432 9.18673566677993 6.9207721343163 14.8183647910168 13.339042320323 9.25474066243059 10.8939831890132 18.6392372216253 11.8037515905582 11.2786344207878 13.454399723576 10.3024315892148 10.690163511754 12.008983283992 14.5761011783356 15.1873151447614 18.2218703549953 13.5085736882191 14.3874474467297 14.956569628355 15.4439410231683 17.1300147257891 15.3452824230263 17.2613183087214 17.4858483500098 19.9174908962255 19.0911798940492 19.1088915903028 19.5267033590199 18.0938115055279 18.0862366347762 19.7726044896768
TCGA-LL-A73Y 3 11.7913129383938 9.51032375515347 14.4837743342276 5.30574799310159 14.5019416827454 13.8441598421685 14.2926744046736 12.4128311799608 14.0245618093831 13.2731002231873 11.0742971373884 11.4750245407965 12.4994742445938 11.4298364709224 11.5731354697249 12.6650461088681 14.3930458050447 16.9718430431457 15.5125237834728 15.4969738596611 15.2266599483471 16.5208784390719 17.8273483679995 16.9412720147284 15.7446960199324 17.6502146349997 19.6090134816186 19.2939857524289 17.6475176134225 18.1436064272205 16.3691961441652 17.3553233867948 19.8654380842994
TCGA-AR-A1AK 9.85636280949586 3 11.1455136812917 12.0335077068144 3 14.3086264145119 17.0149279162968 10.7028846662791 9.23249110761553 19.0179964581426 10.7961039328915 12.5567428132326 10.9528732987575 11.5400636818297 11.8941097238182 11.7442243904292 13.1717666885773 13.264484317234 16.1406155853702 14.8565403508313 16.4699058142121 14.9771855867617 16.2973890571548 18.006767297466 17.0722506385063 15.6834737765619 17.3071912135981 19.5574273366025 19.3144763552759 18.3913010802844 18.1859675245373 17.2917948028314 17.9015295441667 19.5713693449748
TCGA-LL-A740 10.3815877578498 8.30981529354759 7.24512045384381 6.27922580636233 8.96104706036977 15.4611791831717 12.1348217046752 10.5842965424795 12.0080668795523 16.7052733500033 11.5729873882077 11.2243653089821 13.1646728851725 13.737342739425 10.9115576427719 10.8047541338028 12.8122047079005 13.7130858886858 19.0257061391613 14.9830599952388 15.2699349083869 13.4088315802303 15.9148628073892 17.9037054683041 16.6753049646952 16.4315753548136 18.9324662735135 20.8401032323004 19.7144196399396 18.0412407449755 17.614550520501 17.7829039160821 17.4901966491685 20.1788145643735
TCGA-A7-A425 3 3 8.58653319522621 11.83671712882 5.35524639464565 15.7254700352068 15.5837121266708 10.5102693829032 8.26264662492213 16.9090508191339 11.7359314931632 13.4942877998107 11.5366372230122 11.3982071993522 12.9483221630425 11.2115026537286 15.7172867906435 13.3903610780954 18.0648545463907 14.3539397742957 16.3113275299364 14.770447066011 15.8176343087685 18.2331393986663 17.20413148176 18.2690833830162 18.2358747310269 20.6377895306404 18.5310555521663 17.3248042101039 18.471853770607 17.5710217092076 17.7673901854641 19.2354793129539
TCGA-AN-A0XO 9.4700226942587 6.33441997076513 5.87427915478252 9.09881871535923 7.13925826830426 13.5121353091009 14.5426317839924 11.4336556423184 11.9957273113427 12.1834162489666 11.6111985640628 11.1492505251644 12.8285136770318 13.0502746117621 11.5977104294827 11.2096847566419 14.7325384129008 13.1981260792475 17.7175874575984 15.3046054144867 13.1223798136542 14.2546410197841 15.1389362534704 16.9902553312611 17.1945022697501 17.7293201668868 17.9927270906387 20.240047303536 19.8292837115076 18.2081517008905 17.3889942139193 18.156253363093 18.2083477071205 19.8554745057299
