X63928 X2925 X89869 X114 X185 X5024 X6869 X5026 X2903 X5733 X8913 X147 X3706 X146 X3357 X1910 X5136 X2149 X196883 X5153 X4846 X6915 X818 X801 X5566
TCGA-A7-A425 3 16.3539569794196 9.96784729508281 8.58653319522621 14.5172035057842 3 14.565357334529 11.9091034636638 10.5102693829032 15.6726332076659 12.7038213239684 13.6571410289221 15.9618630707081 12.0234909290761 13.755301217951 15.5429926832069 13.4031694055608 18.374957596749 16.3113275299364 15.6385787351894 16.025908961788 15.194560079488 16.8803327245878 19.2354793129539 18.4199934561384
TCGA-AN-A0XO 12.9648502888325 19.3477784592086 7.54119929260461 5.87427915478252 15.7070438117396 3 11.2272706748953 8.78275801293361 11.4336556423184 16.5867422697773 11.3210469654611 11.7661169292533 12.4234466602189 11.0115632169578 14.0603019472036 14.5674489002004 13.3538083444669 18.6081085535375 13.1223798136542 13.1367176948574 14.5447487643667 14.0880636103992 16.7573091356459 19.8554745057299 18.5581792941473
TCGA-AC-A3W7 7.05630113428275 16.5097168629565 10.1691068003435 6.75454584410486 13.976088879333 6.93063680624208 13.7717005859933 10.8024246835507 11.3229391256991 16.0704128222855 12.4808981006726 11.5952735813183 14.3641594819903 11.0660977683578 14.4185330038488 14.4327603583372 14.3405766694867 18.9051848995798 15.6656379865368 14.0284124094067 16.2473438339218 14.7874827231964 17.2667936606083 19.4184787970421 18.6360652958727
TCGA-BH-A0H5 8.38018449256085 14.7159602583339 7.88647999984008 9.73578090976983 14.6449779644507 7.28690387027784 14.6242122362715 15.599355819442 9.74147789092153 15.4113911510849 10.6825642343726 13.6081467014614 12.4413796077 9.93621400906952 14.9301529832343 16.7102327868012 14.5521046188574 19.1513697418374 15.2455560457781 14.7636949843663 14.8506175756609 13.84418516138 16.8033371880838 19.6417070595003 18.4987669076571
TCGA-C8-A1HL 3 13.1840561919949 3 3 12.9188643940812 7.79725247484835 10.4313227299427 9.66298852850918 9.23871670353009 14.2001546094653 10.5031764584946 14.2645644558943 16.1480937972093 9.98377543471711 12.4888819701809 16.3517391465454 15.2086847114346 19.7850110463093 15.6599559655402 14.2130914767416 16.1589803065911 15.4435279851495 16.8472395562028 21.2947088535627 18.8167222083532
TCGA-A2-A0YF 3 12.0040436965313 8.4155000424535 6.68310606124205 20.8758332917423 10.0880412155664 13.5483058686804 10.6057665497245 10.9562581214231 17.4394855485521 9.40311691599782 14.6115488853523 15.965770048244 9.0060170437418 11.6783369540521 16.0411459104129 14.5371162463463 18.4316016708606 16.9242057193111 14.0709687908562 14.8069198612478 14.7424838811556 16.7555877737359 20.0673688514616 19.0131731118139
TCGA-E2-A15J 3 14.9657495056804 3 7.61637788924084 18.4603607479733 7.23915216604285 10.7305227810064 11.8406716906026 7.7719918276008 16.5054860780264 9.37257731726307 12.2113590668035 12.5283859391127 9.6658957426337 10.9702885716685 14.3763186242159 12.0591707454282 16.9049464984517 13.7977929534277 11.3498566493158 14.9960238617177 14.15320058484 16.3317041465046 18.7874192862667 18.9639376749251
TCGA-BH-A0BW 7.32103153563062 12.507483845449 10.2079461876907 3 10.5161568415123 8.72538996737208 13.231740459023 13.3758076232665 14.2050251476445 11.9725215813802 9.55716491572654 12.3478011177865 10.2511308189549 8.06271729568183 12.9770875731762 16.9942602699178 12.1811136048204 17.7805198818299 13.0430818405631 13.2003282420988 14.5842216980397 12.8262865486457 16.9775598587456 19.2659075167557 17.44037667576
TCGA-A1-A0SJ 16.9308590252956 13.454755534961 7.88351403135441 7.10504225651548 15.7269176519507 7.28399143220755 14.4009098006583 10.6220798517007 12.7317027388458 15.6599775363371 8.51668966354873 13.7283852997979 12.9901933781851 10.1243378822087 13.2094462211652 17.892192360306 14.7351675404728 19.2895941291452 14.9179564001314 14.4034380877592 15.6897118972948 13.757099892762 16.1242724323197 20.883440922299 18.4729307651209
TCGA-A2-A0EY 8.88660555868367 11.832465223585 8.38860729513548 9.55406642718453 12.4055189321065 3 14.845960085347 11.7136404385977 10.8038331764926 13.2817724583188 9.96195851763872 12.319017592595 12.3734072192161 10.6411651242329 13.9017777925214 14.3279432735076 13.4397363133385 18.2224696232333 14.2659691945051 13.388789375757 15.1432767764328 13.3704254205476 17.2284684242248 19.4569839589758 19.3405143620118
