X5473 X6346 X5196 X6366 X6363 X114 X6360 X6358 X111 X3576 X1524 X57580 X196883 X54331 X408 X2791 X8503 X3717 X5590 X207 X6774 X5829 X4790 X5908 X1399 X998 X5566
TCGA-A2-A25E 3 9.10492425366887 3 18.076366759513 18.3727646188214 8.37214773696432 8.55607330949705 11.9070399876161 13.339042320323 15.3904426994944 13.5353953120295 19.9258386277722 14.3874474467297 15.4439410231683 17.5406776634051 17.1300147257891 16.9523170916353 15.6849218381564 15.431096482491 17.1616170311389 19.5262037487139 18.5241554515073 17.1125416049885 16.6861844960012 18.6853884537188 21.5523779972326 18.6980769058058
TCGA-LL-A73Y 9.98045726157454 11.5670701010805 9.23170802500014 18.9522069844384 19.7841934890562 9.51032375515347 8.71042146449718 12.4506414067713 13.8441598421685 13.7924366752316 14.9818097020036 18.4755826924 15.4969738596611 16.5208784390719 16.3366034465189 17.8273483679995 15.8155023179107 16.2325224058178 16.2123329658008 17.7983356389775 19.380004676806 17.6800355860261 17.7498513762639 15.6357170114912 19.0892236761799 20.1407730405734 18.4368980162612
TCGA-AR-A1AK 3 9.40199407457748 3 18.6358664639843 19.8269983109599 11.1455136812917 11.4152959060047 15.5309205726335 17.0149279162968 13.7295212727369 18.1001898468934 20.5945856146931 16.4699058142121 16.2973890571548 17.1258708995356 18.006767297466 16.8977320278779 16.7013802935894 15.1717304109047 17.8797688545459 20.1613565398597 18.4907380377842 17.7819582313028 15.936859439566 18.6104792969908 20.370380582035 19.1321712210009
TCGA-LL-A740 10.8178715952564 9.5147119965265 11.060273338309 19.1174912762487 17.1234188287873 7.24512045384381 9.54065922254016 11.4301728629002 12.1348217046752 16.528949566831 16.4350174971188 17.1487573568843 15.2699349083869 15.9148628073892 18.309055083663 17.9037054683041 17.9359030307546 15.4726529686069 16.7353593319956 18.9771189358539 19.6101760252461 19.5989452983073 17.8457062779056 16.0916468021749 19.0493586831507 21.2429470396243 18.279773402801
TCGA-A7-A425 10.6230689606361 3 10.2834547509991 18.753603317273 18.9428669456493 8.58653319522621 13.0311664295478 15.5728818699364 15.5837121266708 12.4510780630581 17.0563764631495 19.1657117242928 16.3113275299364 15.8176343087685 17.6226854330842 18.2331393986663 17.2821791463227 15.5301384519205 15.5241057516493 18.9202761873885 19.4471929779417 18.72382423274 17.845342639962 15.531930516819 18.2078482618517 19.9852919436949 18.4199934561384
TCGA-AN-A0XO 3 3 8.98858103240754 15.3526105430369 14.029268136423 5.87427915478252 9.77109735874478 10.9277047988214 14.5426317839924 14.1622212886599 14.3289908619475 19.4731221900017 13.1223798136542 15.1389362534704 16.8765467309796 16.9902553312611 18.6805400990956 15.7686892573675 16.476785675626 19.2170342049203 20.3872718937906 18.3632231138627 18.1808790157158 16.1353526802543 18.2806244538438 21.0451301777587 18.5581792941473
TCGA-AC-A3W7 10.2971909914762 3 3 18.0863350320131 17.5344005786427 6.75454584410486 11.9431375072808 14.305178304583 16.558081497796 13.8290184757027 16.9370396649631 18.7387143092583 15.6656379865368 15.2585327552056 18.015377553083 17.4201123052934 17.6553510052166 16.3392571255422 16.6861458842385 19.3527273644559 19.2680246625462 18.4805740589278 18.3867840819654 15.8714114403334 18.1908125785396 20.4735017596683 18.6360652958727
TCGA-BH-A0H5 3 9.37116099222824 3 19.9728490525032 22.5083257157331 9.73578090976983 10.6096556608989 14.1274956491144 17.3000841642953 11.6635527682103 15.0586789775719 19.652105254851 15.2455560457781 17.4929337314492 17.2915763109733 17.320466706491 18.0713140081785 17.4963834625629 15.7428394779626 18.1341421608442 19.9938411602838 18.1887081953467 18.6602893377122 16.1050459208743 18.7858458215311 20.9732023944122 18.4987669076571
TCGA-C8-A1HL 11.2045150134562 3 3 15.6372478092327 14.7804945452247 3 10.3372181161923 13.4228706150746 13.9819601820578 14.0753881626266 13.7694186662062 18.6352434755737 15.6599559655402 16.6778268103793 16.6739144078006 18.6894485921464 18.0463770265701 16.0618441198956 16.2175937575281 18.9895996922305 18.6013302582412 18.7841027969267 17.3165755168344 15.9671797909576 18.3234018486431 21.1516257761699 18.8167222083532
TCGA-A2-A0YF 10.2203836030155 3 3 15.1387275579592 16.2406014835384 6.68310606124205 10.6683668016519 13.5213247120237 12.437333244637 14.731708376323 19.1480109623032 18.1979389956948 16.9242057193111 15.9321080034935 18.2464488058215 17.5913112994758 16.8894284879694 16.5658413099948 14.1695406029088 18.0185261957053 19.8601557608382 17.7229791461702 18.0687635649438 16.0889949239316 18.7103635801785 20.5280865315022 19.0131731118139
TCGA-E2-A15J 3 9.32140460073988 3 12.1229764199224 14.3377554699079 7.61637788924084 7.79735865270892 10.0191607778126 12.8828423933526 16.4439659607769 15.9968969222737 19.2313458351422 13.7977929534277 14.2877945183734 17.2158829435412 15.6536476640317 18.1480861108403 15.7557200346876 15.703107210135 18.5312275084215 20.3964538474116 18.0345390070548 19.0260762298175 16.1378565632572 18.8819354737256 20.330341691305 18.9639376749251
