X27257 X29883 X87178 X246175 X11044 X51691 X3313 X64895 X9125 X80153
TCGA-AC-A3YJ 18.0369329237285 17.05325068178 16.7992815368056 16.50939877089 16.922784316241 16.9397996709672 20.1572632427365 15.0312226972196 17.8667000006426 17.2064095852638
TCGA-5T-A9QA 20.3505784426134 16.6549984520617 17.9631125328993 16.183181555338 16.5648100860607 16.5756273142514 20.6218210662999 15.4611940845385 18.2746359444617 17.8766204016021
TCGA-A2-A0CM 18.8471821113119 18.1904479248711 18.01789746931 16.6520801931341 17.7478322924455 16.3791944013592 20.2307000926478 15.9339053132948 18.6705563999472 17.3335142948458
TCGA-A2-A0D2 18.4227664360492 17.4247271885913 17.3125084115484 16.6476519532288 18.1346225252717 18.1500522444672 20.4694101925155 15.0528295575719 18.495237125881 18.0730141829851
TCGA-A2-A4RW 17.4814678763031 16.6568945285408 16.9980960261391 16.7635996921703 17.5852699556347 16.6766542872692 19.4597778044046 15.9677238965754 17.7167192336652 17.0381670497204
TCGA-A8-A095 17.9207670934307 17.6982950850312 16.971472390212 17.2629216961278 17.1562750989046 16.9695575811149 20.5139973985749 16.1570079669659 18.1177472270687 17.281718047189
TCGA-A8-A09R 18.189185598547 16.6890395588179 17.3659368941146 16.6563053516807 16.9486412920447 16.2132756297341 21.3022516584405 16.0449173287535 17.8051366783057 17.7206194399506
TCGA-A2-A1FX 18.4870434909632 16.9323917787404 17.373947097243 17.4113043813595 17.2970243674662 16.6872283015819 20.932053854606 15.5580045887958 17.7916908776324 17.1892306193005
TCGA-A2-A0T6 17.9094302958957 17.6347870889007 16.9998931353128 17.5373646147936 17.0533477835407 16.0716562532651 20.568771935194 16.0621936069762 17.6267634018525 17.2810308387316
TCGA-E2-A15F 20.948887570382 17.1524411459604 17.9448821019239 17.6631576194815 17.3451261066267 16.5048775233731 21.1756866537645 16.0551390588624 18.6984037423986 17.5064411576935
TCGA-A7-A3IZ 19.838093448943 16.6311289968306 16.4436870274951 17.5867969928461 17.0190483278718 16.6487693958508 20.2611458297079 15.1279775396618 18.3056140402439 17.6848666057804
TCGA-BH-A1EU 17.7918561326026 17.9660813045825 16.9610547486441 17.8382347821616 16.9848390348224 17.2513442145335 20.4765499678243 16.4279127691708 18.0626540259476 17.3145487279524
TCGA-AN-A04A 17.9388508218201 17.2605643257307 16.6124802204664 17.2379211929167 16.3706034453594 16.0563554321365 21.027199883899 15.9737422858706 18.0709550732797 18.3876497191342
TCGA-A7-A0CD 17.6737765902871 17.88301960255 16.7749143053585 17.5318182940977 17.0447410792311 15.9162854623105 20.2610708823286 15.6197293509854 17.2221719766863 17.0488206149518
TCGA-E2-A156 17.7565130709678 17.9609403734859 17.2970634226948 17.6868132206357 16.4526884822374 16.5149182453712 20.8590903517674 16.0421634938991 17.7937497951288 17.5491321452663
TCGA-A2-A0D4 18.8132491897719 16.9389026500759 18.0373425344689 16.9404256376361 17.0022790722759 15.9465216783549 21.2073361360636 16.0038856884532 18.4844034940751 16.9435470037774
TCGA-A2-A04R 18.3088726581539 17.7735837238367 17.1555501046087 17.3013765342675 17.1272723359144 16.7768946863254 20.3200486013223 15.9915618592785 18.2024231809773 17.5436966571056
TCGA-AO-A0J4 17.3017411084902 16.5794795119391 17.8649143240926 17.30971733754 17.3815492477618 16.5654645827513 20.340291350465 15.6941603959729 18.719884879108 17.6305080481862
TCGA-A7-A6VW 19.012518885776 17.9290224934044 19.0238989486407 14.9643070020243 18.0677726218196 18.119737996307 19.9913572262887 15.5098775550035 17.9156127638579 18.0513121529872
TCGA-E2-A14Z 17.8089332197592 17.2613304698171 17.3331504340341 17.0627008046238 17.4819099862644 16.0412350012735 20.6001131840968 15.8117609140875 18.4646884777087 17.257194702475
TCGA-A7-A5ZX 17.9590130200646 17.4366107682297 16.8603435129131 17.1757874518031 17.0965136403747 16.5499453094368 19.8800871560497 15.6937112105201 17.3413413412848 17.3106868647215
TCGA-3C-AALI 18.2660620968019 17.2851972118759 17.4097452904953 16.0486981766052 17.4763750385361 16.8062656865931 20.0722494877719 15.7004483131782 17.8095935496243 17.9609075653119
TCGA-AC-A2B8 17.5383357096725 17.2386823354307 17.1110546526764 17.5380497606687 17.5276343722175 16.5449287783231 20.2697484495244 16.1141966709485 17.7489080437039 17.397435454913
TCGA-A1-A0SB 17.3897568710113 17.9547388419164 17.0770430456042 17.5791666775837 18.0874265766412 16.4568416561631 20.2018419238295 15.9215362883517 17.977435000275 17.8139822167398
TCGA-E9-A229 18.0580874772118 17.0125236028512 17.9145414901935 17.1884532557395 17.2104663476523 16.3473882932277 20.2999230062095 16.3219491105409 18.020349149248 17.7284543594247
TCGA-D8-A1JC 20.5940046882154 16.9403892725464 18.0892048233864 17.6074481770981 17.4841965514415 16.4756552089858 21.252076426843 15.6542682762976 18.3781121033946 17.8041961636306
TCGA-A2-A0D1 19.740690648848 17.0969464436162 16.8231308490413 16.5527642989622 17.2603773915368 16.6870216519802 20.4922301879323 15.8858378270616 18.826091176577 17.9148201926425
TCGA-AC-A2QJ 18.1276221445441 15.9689015504647 15.7627968817668 15.5765382245161 17.255205673994 17.2179071289779 20.0116287115926 13.9657319762443 18.0459591928743 17.7865879356551
TCGA-A2-A0CK 18.0636389648343 17.4214450239673 16.8599320911741 16.9315706126867 17.3189810027745 16.5659346948704 19.6310923086272 15.9476914728983 17.8285531826578 17.5923590945564
TCGA-AQ-A7U7 17.741834824172 17.026372425864 17.7507320332551 17.1859365750076 17.4443832122702 16.692502572963 19.9562560133231 15.8245157071498 17.7947862752029 17.4242454494753
TCGA-D8-A1XU 17.6366924416097 17.0007522426534 17.092887204198 16.4661712552698 17.1552524522301 16.5728536268822 21.2900609739393 16.0902701191913 18.2386919158601 17.0097072694641
TCGA-D8-A1X8 17.1606602722271 17.2115653778084 17.4172503545835 17.3065904663814 16.7489346381067 16.349908863298 20.6794116177934 16.3768247891626 18.2062002270194 17.327493607894
TCGA-A2-A0SY 17.8341830617552 17.8141605188193 16.7836561157355 17.2545649592807 16.8937539316126 16.4352215370842 20.8447431807572 15.6243682536687 17.9390251486249 17.3696976674139
TCGA-BH-A42V 18.1134989783913 16.756771857063 17.1165292272793 16.9276174476481 17.0562307811931 16.3751359320314 20.2398206275544 15.6775150364728 17.7231796393481 17.3258022177243
TCGA-A8-A08R 18.2850030749083 16.9334674022418 18.4458022396035 16.9737038613441 18.2891988685199 16.8170941866438 20.2525161854997 15.8371270501096 18.4739233635622 17.0281139212365
TCGA-A1-A0SH 18.0494642383418 17.6713521159162 16.4790994860913 17.3042427737903 16.4606967262061 16.199831438449 19.6120310500861 15.7504384749646 17.6985528550875 17.3870049864025
TCGA-AC-A2QI 18.1216908411151 17.4671380173179 16.9004160886524 16.4207382178349 16.559670196368 16.3956185717743 20.1105961404785 15.8422076105222 17.5689409427838 17.5243929484698
TCGA-AC-A2FM 19.1893541091195 18.6706300266704 16.7227348377426 17.1621844866873 17.2533682281756 16.1493973373761 20.7296467050878 14.9989673907738 17.5084697257209 17.6768539208373
TCGA-AQ-A0Y5 17.6280158064435 17.3747506275819 17.5942720011563 16.9028344619785 17.1216838168501 16.2239104162875 21.6872644930146 15.6985288830067 17.3454044299949 17.4952511974433
TCGA-BH-A1EV 18.6617961171647 17.8567738489614 16.7333334138125 16.6736373393913 16.5299169724364 15.2045421401365 20.1639803422098 16.1126815752227 17.6272882780088 17.5782324156869
TCGA-AC-A2FK 17.1293777895875 17.6378561026277 16.7923598366073 18.0350194405188 17.278383500087 16.1836694955297 20.0513746415088 16.1365770179072 17.449030837869 17.2150432643223
TCGA-A8-A07B 18.4043505410827 17.6646054378716 16.8529957124586 16.7762341223966 17.4937209394057 16.8173094327509 21.1822476607924 15.9533213027107 17.5445755090562 16.7760502440646
TCGA-B6-A40B 18.37003876735 16.9582568085538 16.8542028740912 15.9689503459832 17.3479575044087 18.6263839338811 20.831949940554 14.6536097898808 17.5282671639246 17.6710586317571
TCGA-AC-A2FB 17.8897166809244 17.6109191107206 17.370784472464 18.0018308682331 16.7747974522613 16.1980440690142 20.3497223166632 15.9544863800781 17.7925549569284 17.3896980800146
TCGA-A2-A0CP 18.8043308366042 16.9105142836148 16.9676347193835 16.8486726973184 16.7266158346594 16.457978283224 20.4692456462014 15.5839995325198 17.8859586360288 17.2835361730958
TCGA-BH-A0BG 17.6087553819276 17.2593234099444 17.9291973744848 17.3825763152244 17.3694003030676 16.1587411803664 20.1897333807028 16.0836819927892 18.4302574831033 16.183556166886
TCGA-BH-A18K 17.3274843421341 16.4825110837415 17.5451948964635 16.6675496846452 16.8728284330036 16.9599686938758 20.7596257596161 15.7605467108135 17.626652173917 17.0835240103167
TCGA-A2-A0SX 17.5295894789051 17.0812504041979 17.5510978438078 17.0133418520859 17.3991133754906 16.4999186269665 19.8947109141778 16.4532257076496 18.544411452377 16.8524145185181
TCGA-A8-A07F 18.1291353713753 18.1433195219 16.6247992505389 17.6950596800318 16.9192755461656 16.868870226126 20.6425559155445 15.8061387780754 17.4893983837544 17.3481138763758
TCGA-BH-A1F2 18.2491103473958 17.1865596035244 17.8837578165094 17.307938862718 17.1136000266391 16.8586960464479 20.208093310186 16.6660220622615 18.4997454290976 17.4151364728157
TCGA-E2-A1BC 17.393400854431 17.0724632027626 17.1024695894197 17.3933408146988 16.9391200494214 15.8329908246978 20.6400151866571 16.2282644934009 17.8963526862378 17.5793923134721
TCGA-LL-A440 18.0978003082525 16.6129515111889 16.70006559867 16.7427778097271 17.4684738911537 16.5422381795689 19.7731733084425 15.5787095293596 17.4745243131015 17.143073990422
TCGA-BH-A0W7 18.6162098871122 17.8778029617321 17.3702211371285 16.9284902662567 17.3547110295568 16.0377876602543 20.9381598787511 15.442269164353 18.1346363582783 17.4420601281052
TCGA-A7-A3RF 17.5186423836316 17.1395510645572 16.4773706028159 16.7244857011205 16.7827130002281 16.0465363715395 20.6802787427566 14.8347296748682 18.0377439274673 17.3125819439972
TCGA-AN-A0FK 18.1897507484544 18.0122028721875 16.7026754098259 16.6939864111218 16.4995762159446 16.6783604420259 21.0123876958131 15.1724344238489 17.1442610903445 16.6849032763835
TCGA-AC-A2FE 18.399064650399 17.8413854771797 17.0388140093843 16.7389506485627 17.4010608102356 16.3007799411167 20.37855864156 15.6417944597452 17.7137482880476 17.3459347859877
TCGA-GM-A2DD 18.1940618734393 17.0048689120131 17.2004077874069 17.205510121499 16.9128605723745 16.7697786761168 20.4569744757233 15.6951259159626 17.6951306456482 17.1287662314005
TCGA-D8-A1XD 19.9062527164234 16.9748111462583 17.1914913023645 17.5332647284769 17.3043809966331 16.0867133169536 20.7240829697818 15.7394531057252 17.9056577751128 17.5980306226089
TCGA-AN-A0FZ 19.5511973946763 16.7171915969074 16.6400026775923 16.9761975863265 16.3519529321841 16.0948856209321 21.0472494575018 15.8695731544644 17.9756447480621 17.5236141442938
TCGA-A2-A04P 17.9932317447496 16.3046373888287 17.7035348918704 16.2185489599242 18.2376215493547 17.8059331832619 20.1196770739675 16.2309705983717 19.0667312574301 17.1391131035244
TCGA-AN-A0XT 18.3827609090788 17.0204928883709 16.5811084648569 17.0407183812314 17.4292581576061 16.8669378602521 20.5153405403322 16.3025235228413 17.8100658916359 17.6271930934798
TCGA-A8-A0A1 17.5888818543658 17.4834867320121 17.1463674698888 17.3279677907407 16.9057698300797 15.8891975563409 20.342910120877 16.0880272876015 17.7460200975605 16.7011720878424
TCGA-A8-A084 17.8989812538399 17.3887682801846 17.9306597819241 16.3452111711172 16.4946210453431 16.6676012485403 20.3912218591859 15.660680384206 18.2583142186482 16.9000442657586
TCGA-A8-A0AB 18.1829328977435 18.1077319230204 16.9512815593983 17.8401223466675 17.0108662513925 16.4552839765296 20.8250317975843 15.9584723487761 17.8908670765016 17.5773625544731
TCGA-AR-A1AM 17.9447956961662 16.9260480479826 17.0291278425992 16.7599695328553 17.2612043042089 16.3918825704859 20.1270369441628 15.4784507145949 17.5751244733566 17.5351531222518
TCGA-BH-A0B4 18.6607385181627 17.3516295963178 17.27144096729 16.8901135375035 16.1331471992507 17.5453441204702 20.1239472699933 15.757844473749 18.0353083981668 17.6548481300589
TCGA-A8-A09I 19.0065389775211 17.0358881029937 18.4184644368023 16.9161269167773 17.1514769202321 16.979001781682 21.2825002475092 15.8613688982472 18.1960008524126 17.8610840580575
TCGA-A7-A5ZW 18.3948276222583 17.8855614856394 17.1705822089968 17.3112256507065 16.6822001831357 16.640627752856 20.5378824020231 15.7726441792083 17.5967531749383 17.1955816434313
TCGA-E9-A1R4 17.4646883602437 17.3788954798786 17.3173146574898 16.4742511522358 17.2763056808787 15.8266749834936 20.8716686576656 15.6722261238702 18.1007292495446 16.9907599570343
TCGA-A8-A085 17.9531051786766 16.7344089606658 17.2377323660406 16.8673259494526 16.5086843076069 16.6296696324302 20.3010859099557 15.6976503552733 17.7670178699803 17.4157961703036
TCGA-B6-A0RN 17.9703900338673 17.9274223176625 16.7006550489338 17.3144823371896 16.2229711200949 16.3501008503767 20.3684242955002 16.1330131723885 18.2379959443945 17.5516695322691
TCGA-AC-A2FG 17.6305004595905 17.5487147337643 16.9545671883143 17.5414356579661 16.827345949612 16.6995014729839 20.6914322869698 15.7169989033914 17.7469674369873 17.375296193209
TCGA-A8-A06O 17.4302540602296 17.1093900509145 17.1488086330069 17.6209223802353 17.2985116559278 16.1834035035406 21.4176041518627 15.2297709184539 17.6554631503546 17.5128736671007
TCGA-BH-A0BZ 18.7133418660998 17.7380730048016 17.7842208356808 16.7865715340009 17.1978151412156 16.3553013792164 20.5726242233655 15.7620635273382 18.2390785093329 17.7261894694813
TCGA-AO-A0J9 17.7597604404771 17.2919516959108 16.776071528098 16.6810368608574 16.8727820019667 16.8106855575776 20.3188724962738 15.7046007998167 17.9629373270759 17.0310145605097
TCGA-D8-A27P 17.5458363182319 17.4113155564876 17.0497162291186 17.3651474334237 16.7421376230769 16.709126941143 20.5987448274996 15.9980792964397 17.9782686240466 17.3492822350385
TCGA-A8-A07J 17.868961314908 17.587134547067 16.6978881353642 17.0509069252665 16.4341963123101 16.643374120229 20.2614201309719 15.9535231735275 17.795706052478 17.4576848132678
TCGA-A8-A07I 18.3355316595985 16.8224086299817 17.8422000122073 16.8011265294392 17.3006092933233 15.7610617255641 20.7472582531013 16.2522530214227 18.0608951550463 17.942267717272
TCGA-A8-A08B 18.2249823026342 17.8407894215863 17.7459855669599 15.8480033676679 17.4783635347127 17.1105983860015 20.6100014068399 15.2367402417937 17.9723024854813 18.0191074981919
